DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY(kg),DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
8-Jan,3M PHILIPPINES (EXPORT) INC.,3M EMEA GMBH,CALICANTO BRIDGE 245N,ANR178970985,BE,"1,824",SCOTCH WELD,"55,076.12","2,899,192.00"
15-Jan,3M PHILIPPINES (EXPORT) INC.,3M EMEA GMBH,YM WELLHEAD 014E,ANR178977029,BE,"1,539",SCOTCH WELD-CONTROLLED,"49,854.67","2,624,905.00"
26-Jan,3M PHILIPPINES (EXPORT) INC.,3M EMEA GMBH,SITC DALIAN 1802S,ANR178993765,BE,912,SCOTCH WELD-CONTROLLED,"28,008.29","1,492,053.00"
30-Jan,3M PHILS. INC.,3M COMPANY,COLOMBO 032S,OOLU2597446300,US,"1,369",193 672 CAN  3M FOAM FAST 74 SPRAY ADH ORANG,"10,291.04","552,085.00"
15-Jan,3M PHILS. INC.,3M SHANGHAI SPECIALTY,JL745,SHA09940394,CN,"1,620",7200 M GCLF 467MP 50IN 2500M,"15,957.45","848,969.00"
17-Jan,AB WEE ENTERPRISE,QUANZHOU WEISHENG IMP & EXP,CORDELIA,COIA1802MN006,CN,"2,821",GLUE,"6,553.73","334,181.00"
19-Jan,AB WEE ENTERPRISE,YIWU BAISHANG IMP & EXP CO,ISAO,SITGNBMN921538,CN,"6,607",GLUE,"5,601.74","285,144.00"
23-Jan,ACASTILLO ENTERPRISES,AMERSEAL INDUSTRIAL SDN BHD,MAIN TRADER 1641,EGLV095700120889,MY,"20,417",1X40 SILICONE CARTRIDGE (SILICONE GASKET),"27,750.31","1,489,316.00"
19-Jan,ACASTILLO ENTERPRISES,ASTRANS (S) PTE LTD,MAIN TRADER 1641,EGLV070800005156,SG,"4,560",P PKGS. PLASTIC STEEL PUTTY,"7,265.26","388,662.00"
23-Jan,ACBEL POLYTECH PHILIPPINES INC.,GREAT GUM ENTERPRISE CO. LTD,5J311,UTP12809926,TW,39,24.00 NE ADHESIVE,"39,828.12","2,121,300.00"
