"","X","IMPORTER","EXPORTER","ORIGIN","MONTH","title","L..COST..PhP.","QUANTITY.kg.","Phpkg","Countries"
"1",1,"3M PHILIPPINES (EXPORT) INC.","3M EMEA GMBH","BE",1,"OTHERS",7016150,4275,1641.204678,"Belgium"
"2",2,"3M PHILS. INC.","3M COMPANY","US",1,"OTHERS",552085,1369,403.276114,"United States"
"3",3,"3M PHILS. INC.","3M SHANGHAI SPECIALTY","CN",1,"OTHERS",848969,1620,524.0549383,"China"
"4",4,"AB WEE ENTERPRISE","QUANZHOU WEISHENG IMP & EXP","CN",1,"GLUE",334181,2821,118.4618929,"China"
"5",5,"AB WEE ENTERPRISE","YIWU BAISHANG IMP & EXP CO","CN",1,"GLUE",285144,6607,43.15786287,"China"
"6",6,"ACASTILLO ENTERPRISES","AMERSEAL INDUSTRIAL SDN BHD","MY",1,"OTHERS",1489316,20417,72.94489886,"Malaysia"
"7",7,"ACASTILLO ENTERPRISES","ASTRANS (S) PTE LTD","SG",1,"OTHERS",388662,4560,85.23289474,"Singapore"
"8",8,"ACBEL POLYTECH PHILIPPINES INC.","GREAT GUM ENTERPRISE CO. LTD","TW",1,"ADHESIVE",2121300,39,54392.30769,"Taiwan"
"9",9,"ACBEL POLYTECH PHILIPPINES INC.","SOONEST EXPRESS HK CO LTD","HK",1,"GLUE",276319,846,326.6182033,"Hong Kong SAR China"
"10",10,"ACBEL POLYTECH PHILIPPINES INC.","SOONEST EXPRESS HK CO LTD","HK",1,"OTHERS",2300150,5997,383.5501084,"Hong Kong SAR China"
"11",11,"ACBEL POLYTECH PHILIPPINES INC.","SOONEST EXPRESS H.K. CO LTD.","HK",1,"OTHERS",948719,3037,312.386895,"Hong Kong SAR China"
"12",12,"ACTICHEM MARKETING CORPORATION","MARCOR DEVELOPMENT CORP","US",1,"OTHERS",6449083,5000,1289.8166,"United States"
"13",13,"AGP CORPORATION","B&J ROCKET RASP","DK",1,"ADHESIVE",460207,2392,192.3942308,"Denmark"
"14",14,"AIR PHILIPPINES CORPORATION","AVIALL PTE LTD","SG",1,"OTHERS",343618,9,38179.77778,"Singapore"
"15",15,"AIR PHILIPPINES CORPORATION","BE AEROSPACE GLOBAL SERVICES","US",1,"OTHERS",314713,9,34968.11111,"United States"
"16",16,"AL RAMA GLOBAL TRADING CORP.","SHANDONG YUWANG ECOLOGICAL","CN",1,"PROTEIN",1418269,12500,113.46152,"China"
"17",17,"ALASKA MILK CORPORATION","LAKELAND DAIRIES LTD.","IE",1,"OTHERS",38973361,1e+05,389.73361,"Ireland"
"18",18,"ALASKA MILK CORPORATION","LAKELAND DAIRIES BAILIEBORO,CO","IE",1,"OTHERS",38972990,1e+05,389.7299,"Ireland"
"19",19,"ALDIZ INCORPORATED","FORCOM CORPORATION","TW",1,"OTHERS",1066935,1020,1046.014706,"Taiwan"
