DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
17-Apr,LOTUSORB ENTERPRISES,VEDAN VIETNAM ENTERPRISE,AMALIA C 040B,OOLU2602067570,VN,54000.00,MODIFIED STARCH(ACETYLATED DISTARCH ADIPATE,"29,140.00",1539217.00
16-Apr,WALL VISION CORPORATION,MOMENTIVE PERFORMANCE,NYK FUJI 065S,HLCUTYO180309014,JP,5714.00,1 X 20 CONT STC 30 PKGS OF SILICONE SEALANTS,"26,520.00",1393739.00
11-Apr,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,HANNOVER BRIDGE V.068W,MOLU26016342438,US,16250.00,1 X 20 CONTAINER STC 650 BAGS C TEX 06205 MO,"14,365.49",780865.00
26-Apr,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,HENRY HUDSON BRIDGE,MOLU26016668276,US,16250.00,1 X 20 CONTAINER STC 650 BAGS C TEX 06205 MO,"14,365.46",785217.00
18-Apr,CHAROEN POKPHAND FOODS PHILS. CORP.,DANISCO SINGAPORE PTE. LTD.,GUENTHER SCHULTE,MCB227627,SG,10000.00,1 X 40 CONT STC 12 PALLETS AXTRA PHY 5000L,"90,976.20",4896681.00
6-Apr,AP MAGNA CHEM DISTRIBUTION CORP.,CHEM-BASE (NANTONG) LABORATORI,NAVIOS AMARILLO V.099XAS,KMTCTAO3298276UWS,CN,25000.00,1 X 40 CONT STC 1250 BAGS OF ISP,"40,988.00",2161111.00
4-Apr,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,HANNOVER BRIDGE,MOLU26016188739,US,16010.00,1 X 40 CONTAINER STC 28 PALLETS C TEX 06205,"23,937.78",1303898.00
10-Apr,STT PHILIPPINES INC,STT INC.,CAPE NABIL 035S,YOKACK01186,JP,1268.00,1043509-AA/1043510-AA SILICONE SEAL AGENT,"18,710.09",1014495.00
12-Apr,MEGA TMCTM VENTURES INC,MILLION RISE INVESTMENTS LTD,SFLAVON,71834,TW,14750.00,118 DRUMS WATER BASED OPP FILM LAMINATING AD,"13,275.00",737221.00
23-Apr,WUERTH PHILS. INC.,WUERTH INTERNATIONAL AG,MOL BEYOND 075E,DEHEN0000025604,DE,1722.00,1872 ASSEMBLY FOAM  IC-PU-B2-AT3-750ML,"10,236.07",566729.00
26-Apr,REPUBLIC CHEMICAL INDUSTRIES INC.,SOUDAL LIMITED,GREEN ACE 269VOSCNC,ACUW001686,CN,10314.00,1X20 ACRYLIC SEALANT BOSS 252,"19,970.28",1052051.00
26-Apr,SAGAWA GLOBAL LOGISTICS PHILIPPINES,MACDERMID PERFORMANCE SOLUTION,BUXMELODY V.1655-096N,SEATF1804010201,SG,17206.00,"1X20 CNTR 20 PLTS STC: ULTRA ETCH FL, ULTRA","26,299.51",1423230.00
4-Apr,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,CHILOE ISLAND,MCB191024,SG,1000.00,1X20 CONT STC AXTRA PHY 10000 TPT FEED PREMI,"7,648.76",414560.00
19-Apr,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,FELIXSTOWE BRIDGE,OOLU2026061990,SG,2000.00,1X20 CONT STC AXTRA XAP 101 TPT FEED PREMIX,"42,835.37",2297928.00
