DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
10-Aug,J-CHANNEL INGREDIENTS CORPORATION,TONGAAT HULETT STARCH,ASTORIA BRIDGE,EGLV320830037873,ZA,18000.00,1 X 20 CNTR. STYWAX AWM,"9,360.00",523286.00
31-Aug,PIONEER ADHESIVES INC.,MOHM CHEMICAL SDN BHN,FELEX STOWE BRIDGE V.063S,FPKJE18070136,MY,13530.00,100% ACETIC SEALANT-RED 205KG,"75,930.92",4069856.00
13-Aug,KENNETH AND MOCK DESIGNS INC.,KLEBCHEME M.G BECKER,ACX CRYSTAL 180N,7301130,DE,3060.00,124 PLTS. PUR HM 704.5 CARTON W/ 6 ALUMINUM,"5,745.09",323879.00
3-Aug,REFAMED RESEARCH LABORATORY,ADISSEO ASIA PACIFIC PTE LTD,CMA CGM VERDI 0BZ0KE1M,SEMNL180727502,SG,12256.00,13 PALLETS ROVABIO ADVANCE L 200L DRUM,"94,400.00",5185686.00
9-Aug,HMR PHILIPPINES INC,DGL INTERNATIONAL (MALAYSIA),MAIN TRADER 1669 V 043N,PKGMNL1807078,MY,30758.00,1440 CANS 965 ACRALITE ECOFLAT,"21,149.05",1142815.00
30-Aug,HMR PHILIPPINES INC,DGL INTERNATIONAL (MALAYSIA),EVER BEADY 1672 V007N,PKGMNL1808008,MY,30758.00,1440 CANS 965 ACRALITE ECOFLAT,"21,149.05",1147600.00
13-Aug,BORLA ENTERPRISES,DOW CHEMICAL SILICONES KOREA L,WAN HAI 261,PUS08MNL18TIF088,KR,14841.00,16 PKGS. SILICONE SEALANT,"8,888.62",504601.00
24-Aug,TURRIS PHIL. INC.,TATE & LYLE INGREDIENTS AMERICAS IN,YM MASCULINITY,AST0105412,US,19278.00,17 PALLETS 850 BAGS X-PANDR ST,"19,759.95",1099089.00
16-Aug,UNITED PULP AND PAPER CO. INC.,BUCKMAN LABORATORIES (ASIA) PTE LTD,MSC DANIELA V.825E,HDMUBLML0045659,ES,20700.00,1X20 BUBOND 652,"66,065.95",3723689.00
30-Aug,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,MADJ,MCB444939,SG,1500.00,1X20 CONT STC AXTRA XAP 101 TPT (ENZYME FEED,"32,127.33",1772685.00
3-Aug,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,ITAL MELODIA 0837-130E,EGLV050800722775,TH,20000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH,"15,371.49",828899.00
9-Aug,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,NORDPUMA 1001N,A158A04705,TH,20000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH,"15,371.49",825237.00
17-Aug,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,MOUNT NICHOLSON 015N,A158A04771,TH,20000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH,"15,231.41",825881.00
28-Aug,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,NORDPANTHER OXS1AN,A158A05122,TH,20000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH,"15,231.38",824889.00
31-Aug,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,MSC ZOE V. 829E,157952,DE,18000.00,1X20 CONTAINER STC: 720 BAGS C TEX 06214 ACE,"15,370.50",856645.00
20-Aug,HAMBURG TRADING CORPORATION,CARGILL BIO CHEMICAL CO LTD,SEASPAN VANCOUVER ,XDFF302302,CN,19700.00,1X20 CONTAINER STC: 788 BAGS C STABITEX 0531,"15,149.39",821257.00
7-Aug,HENKEL PHILIPPINES INC.,PT HENKEL ADHESIVE TECHNOLOGIE,NAVIOS FELICITAS,710038,ID,4450.00,1X20 CTR STC ADHESIVE TECHNOMELT 2304,"10,983.22",591312.00
8-Aug,ASIA PRIMERA KIMIKA INC.,BASF HONGKONG LTD,MSC JADE 825E,37882,NL,400.00,1X20 CTR STC GLUADIN WLM BENZ,"12,045.26",650290.00
10-Aug,HENKEL PHILIPPINES INC.,PT.HENKEL ADHESIVE TECHNOLOGIE,NIKOS P,710008,ID,11950.00,1X20 CTR STC PKG STC ADHESIVE TECHNOMELT 220,"23,963.87",1280943.00
