DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
5-Dec,TRANS WORLD TRADING CO.INC.,TOYOCHEM SPECIALTY CHEMICAL SDN.BHD,EVER BONNY V1685-008N,EGLV091830512733,MY,14800.00,"( TM-585-60M-DM-PH , TM-570-PH )  ADHESIVE","55,171.52",2916423.00
18-Dec,ASIA PRIMERA KIMIKA INC.,BASF HONGKONG LTD.,SEASPAN HUDSON 009E,HAM015644,DE,400.00,1 PALLET STC GLUADIN WLM BENZ,"12,500.00",674109.00
20-Dec,EATON INDUSTRIES PHILIPPINES LLC,SMADER TECHNOLOGY LIMITED,SELENTIE 18001S,HKG180455368,HK,96.00,1 PK STC ADHESIVE,"4,578.07",260073.00
10-Dec,CHAROEN POKPHAND FOODS PHILS. CORP.,DANISCO SINGAPORE PTE. LTD.,NAVIOS TEMPO,MCB605351,FI,7000.00,1 X 40 CONT STC 16 PALLETS OF FEED ENZYME,"47,047.09",2552640.00
3-Dec,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES A/S,YM WORTH,CPH32102973,DK,10000.00,10 PLTS STC 10 BB OF ECLIPSE 150 T  (ENZYMES,"145,345.05",7880734.00
27-Dec,MEGAWIDE CONSTRUCTION CORPORATION,BUEHNEN GMBH & CO. KG,MILAN MAERSK 843E,1.00E+11,DE,6703.00,11.00 PL HOT MELT SMALL PILLOWS,"34,584.05",1937053.00
26-Dec,INTERNATIONAL CONTAINER TERMINAL,SUMITOMO RUBBER INDUSTRIES LTD,WAN HAI,EGLV022800243766,JP,456.00,1140 UNITS CHEMICAL ANCHOR RG 3021F,"13,680.00",744589.00
14-Dec,AP MAGNA CHEM DISTRIBUTION CORP,CHEM-BASE(NANTONG)LABORATORIES,ROTTERDAM BRIDGE,QIML6102111WFL2,CN,25500.00,1275 BAGS ISOLATED SOY PROTEIN,"41,604.00",2218341.00
19-Dec,PIONEER ADHESIVES INC.,SOUDAL LIMITED,ROTTERDAM BRIDGE 002S,GXSAG18116156,CN,3315.00,17 DRUMS SILICONE SEALANT BOSS 888 TRANS,"14,339.36",766224.00
7-Dec,NITO SEIKI MFG CORP,SPEED PARTS,GROUSE HUNTER V.017N,TMEL4132897,AU,1814.00,"1L, 500ML, 250ML, 20L LIQUID PATCH","10,397.57",577654.00
14-Dec,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,MP THE BROWN,MCB620759,SG,3000.00,1X20 CONT STC AXTRA XAP 101 TPT (FEED PREMIX,"64,259.88",3484635.00
18-Dec,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,CORDELIA 0856-009E,EGLV050801133102,TH,20000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH STAR F,"15,231.34",816621.00
12-Dec,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,MP THE BROWN,MCB623775,SG,10000.00,1X20 CONT STC PHYZYME XP 10000 TPT FEED PREM,"81,590.00",4431428.00
14-Dec,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,MP THE LAW,MCB637343,SG,2750.00,1X20 CONT STC PHYZYME XP 10000 TPT FEED PREM,"22,436.14",1219201.00
6-Dec,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,MSC DITTE V.842E,578326832,DE,18000.00,1X20 CONTAINER STC: 720 BAGS C TEX 06214 ACE,"15,370.50",842966.00
6-Dec,HAMBURG TRADING CORPORATION,CARGILL BIO CHEMICAL CO LTD,MATTINA,XDFF302389,CN,18950.00,1X20 CONTAINER STC:758 BAGS C STABITEX 05315,"14,691.62",783081.00
3-Dec,HENKEL PHILIPPINES INC.,PT.HENKEL ADHESIVE TECHNOLOGY,NAVIOUS FELICITAS,1.81E+11,ID,4500.00,1X20 CTR STC ADHESIVE TECHNOMELT SUPRA 100,"14,118.48",753362.00
14-Dec,HENKEL PHILIPPINES INC.,PT.HENKEL ADHESIVE TECHNOLOGY,DERBY D,1.81E+11,ID,8000.00,1X20 CTR STC TECHNOMELT SUPRA 100 ADHESIVES,"25,884.96",1372888.00
28-Dec,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES CHINA BIOTECHNOLOGY CO.LT,SILVIA,TSN31103717,CN,8000.00,1X20 STC MEDLEY,"54,591.16",2916965.00
12-Dec,ACS MANUFACTURING CORPORATION,DANISCO SINGAPORE PTE LTD,COSCO DENMARK V. 0PF1WE1MA,ANT1192740,FI,10000.00,1X20 STC.: 500 CARTONS 10 PLTS SMARTENZ 2210,"65,000.00",3533096.00
3-Dec,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA  C,SITC SHANGHAI 1831N,ONEYBKKUD3084500,TH,11880.00,1X20RF COMPOUNDED PLASTIC,"48,423.49",2633387.00
11-Dec,ARIELA MARKETING CO. INC.,AVEVE BIOCHEM NV,MSC DITE V.842E,BRSEBOE14748,BE,25000.00,1X40 CONTAINER STC: 20 PALLETS AVEMIX 02CS,"207,500.00",11272016.00
13-Dec,HENKEL PHILIPPINES INC.,HENKEL ADHESIVES TECHNOLOGIES,CALICANTO BRIDGE 268E,SSGN2630538330,VN,18000.00,1X40 CTR STC LOCTITE BONDACE 7103 LTF (E) AD,"45,900.00",2445545.00
13-Dec,HENKEL PHILIPPINES INC.,HENKEL ADHESIVES TECHNOLOGIES,CALICANTO BRIDGE 268E,SSGN2630538337,VN,18000.00,1X40 CTR STC LOCTITE BONDACE 7103 LTF (E) AD,"45,720.00",2436023.00
5-Dec,HENKEL PHILIPPINES INC.,HENKEL CHEMICAL TECHNOLOGIES,JEPPESEN MAERSK,SHA530955,CN,10000.00,1X40 CTR STC TECHNOMELT 3183 HOTMELT ADHESIV,"22,484.40",1192249.00
21-Dec,PROMESSO BUSINESS SOLUTIONS,SHANDONG YUXIN BIO TECH CO LTD,JOSEPHINE MAERSK V 894W,MCB627669,CN,20000.00,1X40 STC 1000 BAGS ISOLATED SOY PROTEIN,"43,028.00",2301995.00
19-Dec,INGREDION PHILIPPINES INC.,INGREDION INCORPORATED,MOL PARTNER V 108W,6.32E+13,US,18371.00,1X40GE CNTR STC THERMTEX TRUETRACE IP,"21,160.40",1168789.00
19-Dec,INGREDION PHILIPPINES INC.,INGREDION INCORPORATED,YM MODERATION V 042W,6.32E+13,US,18938.00,1X40GE STC NATIONAL 711 NATIONAL 912 WNA,"19,831.42",1096365.00
26-Dec,INGREDION PHILIPPINES INC.,INGREDION INCORPORATED,MEISHAN BRIDGE V 002W,6.32E+13,US,18371.00,1X40GE STC THERMTEX TRUETRACE  9MODIFIED COR,"21,160.40",1171603.00
26-Dec,INGREDION PHILIPPINES INC.,INGREDION INCORPORATED,MEISHAN BRIDGE V 002W,6.32E+13,US,18280.00,1X40GE STC THERMTEX TRUETRACE IP (MODIFIED C,"21,068.93",1166607.00
18-Dec,INGREDION PHILIPPINES INC.,INGREDION INCORPORATED,YM MODERATION V 042W,6.32E+13,US,18371.00,1X40GE STC ULTRA TEX 4 FOOD STARCH MODIFIED,"35,548.68",1952884.00
6-Dec,CHEMICAL RESEARCH PRODUCTS,PRO TECH USA LC,GEORG MAERSK /840,SES000004080,US,1800.00,2 PLTS STC: MAGNA ZYME DEX; MAGNA ZYME DEX,"19,206.00",1046871.00
6-Dec,SKL MAINTENANCE SYSTEMS CORPORATION,CHESTERTON INTERNATIONAL INC,GEORG MAERSK V840,NYCMNLD10707,US,191.00,24 PCS. 860 MPG KIT RESIN CEMENTS MASTICS,"6,032.14",333997.00
3-Dec,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA  C,CALICANTO BRIDGE 268E,ONEYBKKUD3083400,TH,23760.00,2X20RF EPOXY ENCAPSULATION MATERIAL,"89,383.42",4856201.00
13-Dec,MEGA SOFT HYGIENIC PRODUCTS INC.,SHENZHEN GUI HAO CHENG TRADE,CAPE MAHON,TYSD011811230003,CN,41172.00,2X40 HC STC ADHESIVE DM2847,"50,319.54",2690043.00
12-Dec,MEGA SOFT HYGIENIC PRODUCTS INC.,SHENZHEN GUI HAO CHENG TRADE,G ACE,1308503519,CN,42551.00,"2X40 HC STC ADHESIVE H4394, TEP517, TEP876","54,525.88",2896165.00
5-Dec,KAMBAL INDUSTRIAL SUPPLY,FLOOR CHEM ASIA CO. LTD.,SITC LIAONING,B181130761,TH,6000.00,300 UNIT OF INDUSTRIAL POLYURETHANE FLOOR CO,"9,238.00",493618.00
5-Dec,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,MSC DITTE V.842E,578326847,DE,54000.00,3X20 CONTAINER STC: 2160 BAGS C TEX 06214 AC,"46,111.50",2516267.00
5-Dec,THE PUREFOODS HORMEL COMPANY INC,SMS CORPORATION CO LTD,GUAYAQUIL BRIDGE,ONEYBKKUD6009500,TH,72000.00,3X40 MODIFIED TAPIOCA STARCH KREATION 20 CL,"53,691.37",2861992.00
19-Dec,THE PUREFOODS HORMEL COMPANY INC,SMS CORPORATION CO LTD,GUAYAQUIL BRIDGE,ONEYBKKUD6017400,TH,96000.00,4X40 MODIFIED TAPIOCA STARCH KREATION 20CL,"71,588.89",3836913.00
12-Dec,GLONICOR FOOD CORPORATION,TATE & LYLE INGREDIENTS AMERIC,ONE STORK 002W,ONEYRICUQ5274600,US,19278.00,50# REZISTA 682 STARCH,"19,090.47",1052650.00
