DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
23-Feb,NUEVOCHEM SPECIALTIES INC,RA CHEMICAL SPECIALTY SDN BHD,NYK JOANNA 063N,HBLSE1804103,MY,396.00,1 PLT STC TACKTROLL CCA 514 ADHESIVES,"6,083.80",340061.00
28-Feb,J-CHANNEL INGREDIENTS CORPORATION,TONGAAT HULETT STARCH (PTY) LTD.,EVER DIADEM,EGLV320830001411,ZA,21600.00,1 X 40 CNTR PREGELATINISED WAXY MAIZE STARCH,"12,096.00",666948.00
8-Feb,PRIME LAMINATION CORPORATION,"YESUNG CHEM CO., LTD.",MAX KUDO VOY. 0249S,BGLKMNL180120,KR,17700.00,118 DRUMS WATER BASED DRY LAMINATING GLUE,"23,010.00",1195689.00
21-Feb,ZI TECHASIA (PILIPINAS) INC,STEINERT CO LTD,MOL HOPE 0040E,MNL01100218,TH,3693.00,124.79 JOWACOLL,"14,744.12",809744.00
26-Feb,DOLE PHILIPPINES INC,NOVOZYMES MALAYSIA SDN BHD,WAN HAI 101 V.N110,01PKG0118479,MY,1920.00,PECTINEX ULTRA TROPICAL,"19,200.00",1075612.00
27-Feb,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,SITC LAEM CHABANG V.1803N,HDMUTHML0877586,TH,19000.00,1X20  CONT STC MODIFIED TAPIOCA STARCH,"13,652.23",724434.00
8-Feb,KENNETH AND MOCK DESIGNS INC.,KLEBCHEMIE M.G BECKER,MS EAGLE 1801,DEKAE0000008700,DE,3586.00,1X20 ADHESIVE,"19,204.40",1052148.00
14-Feb,CEMEDINE PHILIPPINES CORP,MITSUBISHI CORPORATION,MARCLIFF V. 18001S,50451,JP,15912.00,1X20 CNTR 72 DRUMS BAGS STC: KANEKA SILYL ES,"65,428.02",3556551.00
2-Feb,KOU FU PACKAGING CORPORATION,KOU FU COLOR PRINTING CO LTD,WAN HAI 162 S291,0018A11011,TW,11520.00,"1X20 CNTR STC: 165 PKGS PVA,INK,GLUE;","41,183.99",2273916.00
22-Feb,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,MOL HORIZON 1098E,BKKCB18000110,TH,19000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH,"13,652.27",720102.00
13-Feb,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,MOL HOPE 0039E,BKKCB18000108,TH,19000.00,"1X20 CONT STC MODIFIED TAPIOCA STARCH STARF""""X20 C""","13,652.20",715096.00
14-Feb,HAMBURG TRADING CORPORATION,CARGILL BIO CHEMICAL CO LTD,SITC FUJIAN V.1804S,SITGDLMN805910,CN,19875.00,1X20 CONTAINER STC: 795 BAGS DISTARCH PHOSPH,"15,263.71",798329.00
20-Feb,HENKEL PHILIPPINES INC.,HENKEL ADHESIVES TECHNOLOGIES,MOL HORIZON 1098E,SSGN2630443538,VN,9000.00,1X20 CTR STC LOCTITE BONDACE 7103LTF(E) ADHE,"23,966.20",1318854.00
8-Feb,HENKEL PHILIPPINES INC.,HENKEL ADHESIVE TECHNOLOGIES,MOL HOPE 0039E,SSGN2630441076,VN,9000.00,1X20 CTR STC LOCTITE BONDACE 7103LTF(E) ADHE,"23,599.00",1225859.00
13-Feb,HENKEL PHILIPPINES INC.,PT.HENKEL ADHESIVE TECHNOLOGIE,NORTHERN DEMOCRAT,10008,ID,11925.00,1X20 CTR STC TECHNOMELT 2202 WV ADHESIVES,"25,501.73",1327117.00
28-Feb,HENKEL PHILIPPINES INC.,HENKEL ADHESIVE TECHNOLOGIES,MOL HOPE 0040E,SSGN2630445395,VN,23175.00,1X20&1X40 CTR STC LOCTITE BONDACE 7103LTF (E,"59,096.25",3111505.00
19-Feb,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA CO,MOL HORIZON V. 1098E,MOLU13807373716,TH,11880.00,1X20RF EPOXY ENCAPSULATION COMPOUND,"40,677.12",2188347.00
1-Feb,SAGAWA GLOBAL LOGISTICS PHILIPPINES,MACDERMID PERFORMANCE SOLUTION,BUXMELODY 1643-093N,SEATF1801017301,SG,25568.00,"1X40 CNTR STC: 28 PLTS ULTRA ETCH F L, ULTRA","40,053.72",2123324.00
27-Feb,INGREDION PHILIPPINES INC.,INGREDION INC,HYUNDAI BANGKOK V 075W,HDMUIPWB3466790,US,18371.00,1X40 CTNR STC BATTERBIND S TRUTARCE IP,"14,245.11",782711.00
9-Feb,HENKEL PHILIPPINES INC.,PT HENKEL ADHESIVE TECHNOLOGIE,GH LESTE 802A,10046,ID,13750.00,"1X40 CTR STC TECHNOMELT 2202 WV,TECNOMELT SU","33,923.38",1767264.00
27-Feb,FRABELLE CORPORATION,"QINGDAO LANKANG INTERNATIONAL CO.,",CIRCULAR QUAY,AAJY008554,CN,22000.00,1X40 SOY PROTEIN ISOLATE PUREPRO 90E,"51,771.18",2723873.00
15-Feb,FRABELLE CORPORATION,"QINGDAO LANKANG INTERNATIONAL CO.,",CIRCULAR QUAY,AAJY008463,CN,22000.00,1X40 SOY PROTEIN ISOLATE PUREPRO 90E,"50,820.00",2639374.00
15-Feb,J-CHANNEL INGREDIENTS CORPORATION,TONGAAT HULETT STARCH (PTY) LTD.,ASTORIA BRIDGE,EGLV320730066987,ZA,43200.00,2 X 40 PREGELATINISED WAXY MAIZE STARCH,"24,192.00",1311042.00
14-Feb,SPURWAY INTL. MARKETING CORPORATION,SHANGHAI NATURE BUILDING,HAI LIAN 1803S,SITGSHMNT01607,CN,1500.00,200 PAILS OF NQ710 2-  COMPONENT ADHESIVE PA,"7,918.03",414245.00
6-Feb,HAMBURG TRADING CORPORATION,CARGILL DEUTHCHLAND GMBH,YM WORTH V.012E,NYKSHAMT67352500,DE,36000.00,2X20 CONTAINER STC: 1440 BAGS C TEX 06214 AC,"30,741.00",1644678.00
13-Feb,HAMBURG TRADING CORPORATION,CARGILL BIO CHEMICAL CO LTD,SITC FUJIAN V. 1804S,SITGDLMN805909,CN,39575.00,2X20 CONTAINER STC: 1583 BAGS DISTARCH PHOSP,"41,137.71",2137980.00
22-Feb,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,YM MASCULINITY V.047W,NYKSCHITJ2401600,US,32500.00,2X20 CONTAINER STC: 20 PALLETS (25KG/BAG)CTE,"28,728.68",1552533.00
22-Feb,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA CO,MOL HOPE V. 0040E,MOLU13807373721,TH,23760.00,2X20RF  EPOXY ENCAPSULATION COMPOUND,"94,422.31",5070024.00
19-Feb,ACS MANUFACTURING CORPORATION,NOVOZYMES A/S,IDA RAMBOW 389S,CPH31113538,DK,21600.00,"2X20STC.40PLT SAVINASE 6.0T/SAVINASE 6.0T,CA","128,874.24",6866479.00
6-Feb,MAGNOLIA INC.,VRS FOODS LIMITED,HYUNDAI COURAGE,4633,IN,50000.00,2X40 CONTRS STC: (2000 BAGS) RENNET CASEIN,"299,575.52",15604284.00
7-Feb,JEBSEN & JESSEN INGREDIENTS (P),VEDAN VIETNAM ENTERPRISE CORP.  LTD,ST BLUE,OOLU2599307620,VN,54000.00,3 X 20 STC MODIFIED STARCH DISTARCH PHOSPHAT,"33,490.65",1744527.00
19-Feb,INLAND WAREHOUSING & LOGISTICS DIV.,"THREEBOND CO., LTD",IWASHIRO 251S,NYKSTY7AS4833600,JP,1831.00,3993 NE THREEBOND BRAND PRODUCTS (TB2236/T,"51,258.56",2788658.00
20-Feb,JEBSEN & JESSEN INGREDIENTS (P),VEDAN VIETNAM ENTERPRISE CORP. LTD,ST EVER 023A,OOLU2599307700,VN,72000.00,4 X 20 STC MODIFIED STARCH DISTARCH PHOSPHAT,"44,654.17",2329696.00
13-Feb,TURRIS PHIL. INC.,TATE & LYLE NETHERLANDS B.V.,TALOS,OOLU4026920500,NL,118500.00,4740 BAGS RESISTAMYL 347 MODI,"97,762.50",5220695.00
7-Feb,HAMBURG TRADING CORPORATION,CARGILL DEUTHCHLAND GMBH,KYOTO EXPRES V.077E,NYKSHAMT64236300,DE,72000.00,4X20 CONTAINER STC: 2880 BAGS CTEX 06214 ACE,"61,482.00",3283045.00
22-Feb,HAMBURG TRADING CORPORATION,CARGILL DEUTHCHLAND GMBH,YM MASCULINITY V.047W,NYKSCHITJ5214400,US,65000.00,4X20 CONTAINER STC: 40 PALLETS C TEX 06205 M,"57,456.85",3098724.00
8-Feb,MEGAPAINT CORPORATION,AKZO NOBEL PAINTS VIETNAM LTD,HAISU 2 V. 18002N,SGNMNLS1801038,VN,20000.00,500 PCS OF PUTTY DS PUTTY 40K/A502-29133,"5,099.65",268885.00
7-Feb,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,NYK FALCON V.003E,NYKSHAMT65630200,DE,90000.00,5X20 CONTAINER STC: 3600 BAGS C TEX 06214 AC,"76,852.50",4102228.00
7-Feb,ACASTILLO ENTERPRISES,MAC INTERNATIONAL DEVELOPMENT LTD.,HYUNDAI GLORY 091S,SHAB053749,CN,125933.00,"6X40 SCHOOL SUPPLIES (WHITE GLUE, GLUE STICK","98,084.19",5371123.00
6-Feb,UNITED PULP AND PAPER CO INC,NATIONAL STARCH AND CHEMICAL THAILA,SITC BANGKOK 1801N,KKLUTH0861224,TH,126000.00,7X20 MODIFIED  STARCH,"100,850.20",5231428.00
28-Feb,CENTURY PACIFIC FOOD INC.,GENERAL STARCH LIMITED,ITAL MILLIONE,EGLV050800071928,TH,20000.00,800 BAGS MODIFIED TAPIOCA STAR,"16,473.20",872553.00
7-Feb,MEKENI FOOD CORPORATION,"BDF NATURAL INGREDIENTS, SL",MANCHESTER BRIDGE,270401,ES,3000.00,ADDITIVES (PROBIND GT 5.0),"71,134.98",3778957.00
27-Feb,YOSHITA CORPORATION,SHT CORPORATION LIMITED,CAPE NABIL 033S,MOLU12024225236,JP,1085.00,ADHESIVE,"5,317.44",292904.00
15-Feb,INLAND WAREHOUSING & LOGISTICS DIV.,THREE BOND SINGAPORE PTE LTD,SINO BRIDGE 002E,X1800489MNL003,SG,1128.00,ADHESIVE,"5,241.81",290633.00
15-Feb,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,SINO BRIDGE 002E,GALSE180201501,SG,212.00,ADHESIVE - HUNTSMAN 2014-1,"15,830.32",859924.00
15-Feb,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,SINO BRIDGE 002E,GALSE180201501,SG,115.00,ADHESIVE - HUNTSMAN 2014-2,"8,589.57",467979.00
15-Feb,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,SINO BRIDGE 002E,GALSE180201501,SG,437.00,ADHESIVE ARALDITE 2022 PART A,"32,629.84",1769290.00
15-Feb,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,SINO BRIDGE 002E,GALSE180201501,SG,437.00,ADHESIVE ARALDITE 2022 PART B,"32,629.84",1769290.00
14-Feb,JT INTERNATIONAL ASIA MFG. CORP.,H.B. FULLER ADHESIVES MALAYSIA SDN,SINO BRIDGE 002E,COAU7120796090,MY,5575.00,ADHESIVE DURABOND-CONTROLLED,"17,883.15",979980.00
22-Feb,MAHLE FILTER SYSTEMS PHILS. CORP.,MAHLE FILTER SYSTEMS JAPAN CORP GLO,REFLECTION 1804S,33255,JP,12500.00,ADHESIVE OF 418P-3,"29,470.01",1613966.00
2-Feb,SAN TECHNOLOGY INCORPORATED,CORAL SERVICE CORP.,CAPE NABIL 032S,UKBMNL8014812,JP,450.00,ADHESIVE POWDER,"9,382.28",495334.00
14-Feb,TRANS WORLD TRADING COMPANY,TOYO-MORTON LTD.,NORTHERN VALENCE V1644-045N,EGLV091830040556,MY,15236.00,ADHESIVE TM-585-60M-DM-PH/TM-570-PH,"56,483.00",2930384.00
28-Feb,FLEXIBLE PACKAGING PRODUCTS CORP.,TOYO-MORTON LTD,PHILIP SCHULTE V.087XAS,SNKO24H180100007,JP,32000.00,ADHESIVE TOMORESTER,"102,465.60",5434555.00
2-Feb,FLEXIBLE PACKAGING PRODUCTS CORP.,TOYO-MORTON LTD,HYUNDAI GLORY 091S,SNKO24H171200030,JP,32000.00,ADHESIVE TOMORESTER 45S,"102,465.60",5307465.00
15-Feb,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,IWASHIRO 251S,NYKSSM7AA7204500,JP,1665.00,"ADHESIVE, E-TEC","36,790.12",1996620.00
21-Feb,H B FULLER PHILS INC,H. B. FULLER (CHINA) ADHESIVES LTD.,SUI FU HANG 68 8062,MCB148525,CN,4800.00,ADVANTRA PHC 9256 (HOT MELT ADHESIVES),"18,340.86",956846.00
