DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
10-Jul,ELEVENTH TRADING,DOW CHEMICAL SILICONES KOREA,WAN HAI,0058X19719,KR,9193.00,"DOWSIL"" BRAND GLASS SILICONE SEALANT (BRONZ""""DOWSIL"" BRAND GLASS SILICONE SEALANT (BRONZ""""OWSIL"" BRAND GLASS SILICONE SEALANT """"WSIL"" BRAND GLASS SILICONE SEA""""SIL"" BRAND GLASS SILICONE""""IL"" BRAND GLASS SILIC""""L"" BRAND GLASS SIL"""""" BRAND GLASS SI"""" BRAND GLASS SI""","11,470.00",654883.00
27-Jul,CHAROEN POKPHAND FOODS PHILIPPINES,DANISCO SINGAPORE PTE. LTD.,MAJD,MCB390087,FI,10000.00,1 X 20 & 1 X 40 CONT STC 25 PALLETS OF AXTRA,"67,208.69",3710616.00
11-Jul,AP MAGNA CHEM DISTRIBUTION CORP.,CHEM-BASE(NANTONG)LABORATORIES,COSCO SURABAYA,TAOCB18004932JHL1,CN,25000.00,1250BAGS ISOLATED SOY PROTEIN,"40,888.00",2204512.00
24-Jul,EIRRY TRADING,BUILDERS CHEM KOREA,STARSHIP PEGASUS 069S,HDMUBUML4795075,KR,7680.00,16 DRUMS POLYURETHANE SPRAY FOAM,"15,306.21",878557.00
16-Jul,FLEXIBLE PACKAGING PRODUCTS CORP.,"TOYO-MORTON, LTD.",HEUNG-A GREEN,CC4G58000200,JP,32000.00,160 DRUMS STC ADHESIVE TOMORESTER 45S(METHYL,"106,056.00",5699922.00
13-Jul,UNAHCO INC. FORMERLY UNIVET AGRICU,ADISSEO ASIA PACIFIC PTE LTD,LODESTAR V 18002E,SEMNL180644201,SG,6000.00,1X20 CNTR  STC ROVABIO ADVANCE T FLEX,"285,273.00",15735718.00
6-Jul,SAGAWA GLOBAL LOGISTICS PHILIPPINES,MACDERMID PERFORMANCE SOLUTION,MAIN TRADER 1665-042N,SEATF1806011701,SG,12682.00,"1X20 CNTR 18 PLTS STC: ULTRA ETCH FL,ULTA ET","19,603.37",1086438.00
31-Jul,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,MAJD,MCB353443,SG,1400.00,1X20 CONT STC AXTRA XAP 101 TPT FEED PREMIX,"32,125.79",1773142.00
25-Jul,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,GUAYAQUIL BRIDGE 7472E,ONEYBKKU67523900,TH,20000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH,"14,370.77",780038.00
11-Jul,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,SITC SHANGHAI 1815N,LCHCB18016333,TH,20000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH,"14,370.71",779544.00
9-Jul,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,SITC ZHEJIANG V 1815N,SITGBKMN109536,TH,20000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH STARFI,"14,370.75",779546.00
9-Jul,HAMBURG TRADING CORPORATION,"STEINERT CO., LTD",NORDPANTHER V. 0XS0YN1NC,GTD0408515,TH,12075.00,1X20 CONTAINER STC: 20 PALLETS ADINO HM 9580,"28,232.39",1596157.00
24-Jul,HAMBURG TRADING CORPORATION,CARGILL BIO CHEMICAL CO LTD,SEASPAN FRASER,XDFF302227,CN,19900.00,1X20 CONTAINER STC: 796 BAGS BATTER CRISP 05,"18,698.05",1011461.00
24-Jul,HAMBURG TRADING CORPORATION,CARGILL BIO CHEMICAL CO LTD,SEASPAN FRASER,XDFF302226,CN,19950.00,1X20 CONTAINER STC: 798 BAGS C STABITEX 0531,"15,335.32",831447.00
4-Jul,PROCTER & GAMBLE PHILIPPINES INC.,HENKEL ADHESIVES TECHNOLOGIES(GUANG,ASSICILLA V.18009S,TYSD011806190008,CN,9600.00,1X20 HOTMELT ADHESIVE,"52,718.43",2830353.00
12-Jul,FOOD INDUSTRIES INC.,ROQUETTE ITALIA SPA,MACKINAC BRIDGE V.014E,M600258840,IT,18000.00,1X20 PREGEFLO CH10,"32,749.69",1815222.00
30-Jul,FOOD INDUSTRIES INC.,ROQUETTE ITALIA SPA,CMA CGM LEO 307,APLU709089301,IT,18000.00,1X20 PREGEFLO CH10,"32,746.61",1817112.00
20-Jul,PROCTER & GAMBLE PHILIPPINES INC.,GENENCOR INTERNATIONAL B V,APL VANDA,ANT1159440,FI,10000.00,1X20 STC PREFERENZ R P2084 GRANULAR PROTEASE,"53,725.98",2972839.00
23-Jul,PROCTER & GAMBLE PHILIPPINES INC.,GENENCOR INTERNATIONAL B V,CMA CGM ALASKA,ANT1162985,FI,8000.00,1X20 STC PREFERENZ R P2084 GRANULAR PROTEASE,"42,975.18",2380074.00
23-Jul,ACS MANUFACTURING CORPORATION,DANISCO SINGAPORE PTE LTD,MILAN EXPRESS V. 1820W,HLCUANR180546750,FI,10000.00,1X20 STC.: 500 CARTONS SMARTENZ (R) 2210,"65,000.00",3595033.00
24-Jul,ACS MANUFACTURING CORPORATION,DANISCO SINGAPORE PTE LTD.,CMA CGM ALASKA V.0FM0GE1MA,ANT1162959,FI,10000.00,1X20 STC.: 500 CARTONS SMARTENZ (R) 2210 / E,"57,500.00",3181506.00
10-Jul,L.G. ATKIMSON IMPORT-EXPORT INC.,KISSEL + WOLF GMBH,MSC OLIVER 821E,34577,DE,1820.00,1X20 STC: HARMLESS CHEMICALS; KIWOBOND 1000,"27,826.54",1565646.00
3-Jul,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA  C,GUAYAQUIL BRIDGE V. 741E,ONEYBKKU49274500,TH,11880.00,1X20RF EPOXY ENCAPSULATION MATERIAL,"52,130.08",2882428.00
19-Jul,ACS MANUFACTURING CORPORATION,DANISCO SINGAPORE PTE LTD,APL VANDA V.0FM0CE1MA,ANT1159449,FI,10000.00,1X20STC.250CARTONS SMARTENZ (R) 2210/250CART,"57,500.00",3181388.00
24-Jul,INGREDION PHILIPPINES INC.,INGREDION INC,SEAMAX STRATFORD V 822S,54106,US,18371.00,1X40 CNTR STC THERMTEX TRUETRACE IP,"20,705.99",1157305.00
24-Jul,INGREDION PHILIPPINES INC.,INGREDION INC,SEAMAX STRATFORD V 822S,63677,US,18371.00,1X40 CNTR STC THERMTEX TRUETRACE IP,"20,705.99",1157305.00
24-Jul,INGREDION PHILIPPINES INC.,INGREDION INC,SEAMAX STRATFORD V 822S,54107,US,18371.00,1X40 CNTR STC THERMTEX TRUETRACE IP INSTANT,"21,829.17",1219234.00
11-Jul,MCCORMICK PHILIPPINES INC,RUBECLAR INTERNATIONAL INC.,CONTI CRYSTAL V. 102W,W160341872,US,2300.00,1X40 CONTAINER STC: CONDIMENTS AND SEASONING,"9,752.13",540717.00
18-Jul,HENKEL PHILIPPINES INC.,HENKEL ADHESIVE TECHNOLOGIES,CALICANTO BRIDGE,SSGN2630490311,VN,17775.00,1X40 CTR STC LOCTITE BONDACE 7103LTF (E) ADH,"44,793.00",2409994.00
20-Jul,HENKEL PHILIPPINES INC.,PT HENKEL ADHESIVE TECHNOLOGIE,ARICA BRIDGE 106N,710010,ID,16275.00,1X40 CTR STC TECHNOMELT 2202 WV ADHESIVES,"33,531.22",1811995.00
26-Jul,FRABELLE CORPORATION,"SOLAE, LLC",APL ESPLANADE,COSU8019237700,US,17000.00,1X40 SOY PROTEIN CONCENTRATE,"32,366.00",1766922.00
11-Jul,INGREDION PHILIPPINES INC.,INGREDION INC,ACX PEARL V 137N,HLCUBSC1805BPNV5,US,18371.00,1X40GP CNTR STC BATTER BIND S TRUETRACE IP,"15,129.14",849286.00
11-Jul,INGREDION PHILIPPINES INC.,INGREDION INC,ACX PEARL V 137N,HLCUBSC1805BOBH7,US,18371.00,1X40GP CNTR STC NATIONAL 465 TRUETRACE IP NA,"19,800.85",1106705.00
24-Jul,INLAND WAREHOUSING & LOGISTICS DIV.,"THREEBOND CO., LTD",JAKARTA BRIDGE V.174S,MEI1183044,JP,2115.00,2304 NE THREEBOND BRAND PRODUCTS(TB1215/TB,"39,129.98",2204952.00
25-Jul,INLAND WAREHOUSING & LOGISTICS DIV.,THREEBOND MANUFACTURING (THAILAND),SITC SHANGHAI V.1817N,BKK0713885,TH,2760.00,276 PE THREEBOND BRAND PRODUCTS(TB3089D/TB,"161,782.04",9095781.00
5-Jul,LINKSPORTS INC.,FLOORSPEC PTE LTD.,LODESTAR 18002E,1343,JP,560.00,28SETS TAKIRON 601 ADHESIVE,"7,275.58",411605.00
31-Jul,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA  C,CALICANTO BRIDGE V. 261E,ONEYBKKU63497800,TH,25371.00,2X20RF EPOXY ENCAPSULATION COMPOUND,"93,336.53",5163685.00
6-Jul,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,NYK ATHENA V. 114W,ONEYRICU86802400,US,57375.00,3X40 CONTAINER STC: 2295 BAGS C TEX 06214,"48,994.05",2732402.00
2-Jul,MEGA SOFT HYGIENIC PRODUCTS INC.,SHENZHEN GUI HAO CHENG TRADE,DONG FANG QIANG,1565,CN,63802.00,"3X40 HQ STC ADHESIVE H4394, TEP517, TEP 868","81,808.56",4414126.00
17-Jul,MEGA SOFT HYGIENIC PRODUCTS INC.,SHENZHEN GUI HAO CHENG TRADE,DONG FANG QIANG,1918,CN,63806.00,"3X40 HQ STC ADHESIVE H4394, TEP517, TEP 868,","81,810.93",4417775.00
13-Jul,J-CHANNEL INGREDIENTS CORPORATION,TONGAAT HULETT STARCH (PTY) LTD.,EVER DIVINE,EGLV320830006374,ZA,86400.00,4 X 40  PREGELATINISED WAXY MAIZE STARCH,"48,384.00",2709677.00
25-Jul,J-CHANNEL INGREDIENTS CORPORATION,TONGAAT HULETT STARCH (PTY) LTD.,ROSA,EGLV320830028149,ZA,86400.00,4 X 40  PREGELATINISED WAXY MAIZE STARCH,"48,384.00",2711373.00
25-Jul,J-CHANNEL INGREDIENTS CORPORATION,TONGAAT HULETT STARCH (PTY) LTD.,KOTA LEGIT,EGLV320830028157,ZA,86400.00,4 X 40  PREGELATINISED WAXY MAIZE STARCH,"48,384.00",2711373.00
9-Jul,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,MSC DANIT V. 822E,58321,DE,72000.00,4X20 CONTAINER STC: 2880 BAGS C TEX 06214 AC,"61,482.00",3410551.00
6-Jul,JEBSEN & JESSEN INGREDIENTS (P) INC,VEDAN (VIETNAM) ENTERPRISE CORP LTD,GUAYAQUIL BRIDGE,SITSGMNG140575,VN,90000.00,5 X 20 STC MODIFIED STARCH (ACETYLALTED DIST,"67,521.69",3643281.00
31-Jul,DEL MONTE PHILS INC. / PHILPACK,GENERAL STARCH LIMITED,ITAL MELODIA 0837 130E,EGLV050800722767,TH,100000.00,5X20 STC 4000 PAPER BAGS MODIFIED TAPIOCA ST,"81,050.00",4372318.00
31-Jul,JEBSEN & JESSEN INGREDIENTS (P) INC,VEDAN ( VIETNAM ) ENTERPRISE CORP L,CALICANTO BRIDGE,SITSGMNG142052,VN,108000.00,6 X 20 STC MODIFIED STARCH [ACETYLATED DISTA,"81,560.93",4404273.00
4-Jul,ACASTILLO ENTERPRISES,IMPIANA INDUSTRIES SDN BHD,LODESTAR 18002E,SNKO160180600169,MY,6994.00,644 CTNS. FLOORING ADHESIVE,"11,013.05",625016.00
10-Jul,HMR PHILIPPINES INC,DGL INTERNATIONAL (MALAYSIA),MAIN TRADER 1665 V 042N,PKGMNL1806071,MY,15379.00,720 CANS 965 ACRALITE ECOFLAT,"11,330.61",618292.00
25-Jul,HMR PHILIPPINES INC,DGL INTERNATIONAL (MALAYSIA),CMA CGM VERDI V OBZOKEIMA,PKGMNL1807074,MY,15379.00,720 CANS 965 ACRALITE ECOFLAT,"11,330.61",618031.00
9-Jul,CENTURY PACIFIC FOOD INC.,GENERAL STARCH LIMITED,SITC ZHEJIANG,LCHCB18016201,TH,20000.00,"800 BAGS 20,000.00 KGS MODIFIED TAPIOCA STAR","16,473.20",892354.00
20-Jul,3M PHILS. INC.,3M EMEA GMBH,ACX CRYSTAL 179N,ANR186285118,CH,540.00,950 ABS5768A 500MM X 55M CC05,"13,927.53",786200.00
25-Jul,ERCM PRODUCTS INTERNATIONAL INC.,"CHUEN HUAH CHEMICAL CO., LTD",MARIA SCHULTE V.302S,KAOMNNT09081Y02,CN,12000.00,A456 FLEXIBLE CEMENTITIOUS (BLACK),"16,200.00",921679.00
13-Jul,EDWARD KELLER (PHILS.) INC.,CARGILL DEUTSCHLAND GMBH,MSC DANIT V.822E,51105,DE,18000.00,ACETYLATED DISTARCH ADIPATE,"22,665.09",1258795.00
6-Jul,SCAD SERVICES (S) PTE. LTD. - PHIL,HRD SINGAPORE PTE LTD,QUEZON BRIDGE 214S,ONEYSM8AA3494800,JP,25569.00,ADHESIVE,"81,679.33",4603433.00
16-Jul,MAHLE FILTER SYSTEMS PHILS. CORP.,MAHLE FILTER SYSTEMS JAPAN CORPORAT,IWASHIRO 259S,32640,JP,9521.00,ADHESIVE,"27,837.90",1570571.00
6-Jul,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,LODESTAR V. 18002E,GALSE180606801,SG,456.00,ADHESIVE - HUNTSMAN 2014-1,"30,302.29",1703215.00
6-Jul,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,LODESTAR V. 18002E,GALSE180606801,SG,248.00,ADHESIVE - HUNTSMAN 2014-2,"16,462.15",926852.00
6-Jul,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,LODESTAR V. 18002E,GALSE180606801,SG,473.00,ADHESIVE ARALDITE 2022 PART A,"31,401.33",1764866.00
6-Jul,DYSON ELECTRONICS PTE LTD PH BRANCH,VITROCHEM TECHNOLOGY PTE LTD,LODESTAR V. 18002E,GALSE180606801,SG,473.00,ADHESIVE ARALDITE 2022 PART B,"31,401.33",1764866.00
30-Jul,SAN TECHNOLOGY INCORPORATED,CORAL SERVICE CORP.,QUEZON BRIDGE 215S,UKBMNL18074694,JP,450.00,ADHESIVE POWDER,"9,171.14",507754.00
9-Jul,SAN TECHNOLOGY INCORPORATED,CORAL SERVICE CORP.,QUEZON BRIDGE 214S,ONEYOS8AE1652401,JP,302.00,ADHESIVE POWDER,"6,239.67",348859.00
20-Jul,BREN99INTERFACE TRADING,RECTORSEAL CORP.,CMA CGM PELLEAS 220,S00004885,US,3390.00,ADHESIVE SEALANT,"5,336.70",306457.00
3-Jul,TEMIC AUTOMOTIVE (PHILS.) INC.,DOW EUROPE GMBH C/O DSV LOGISTICS,ACX PEARL 136N,ANR0064299,BE,480.00,"ADHESIVE SEALANT, DOWSIL (TM) 7091","5,882.43",336743.00
20-Jul,FLEXIBLE PACKAGING PRODUCTS CORP.,TOYO-MORTON LTD,BAHAMIAN EXPRESS 0291S,CC4G68000100,JP,32000.00,ADHESIVE TOMORESTER 45S,"106,056.00",5700134.00
30-Jul,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,QUEZON BRIDGE 215S,ONEYSM8AA3551900,JP,1235.00,"ADHESIVE, ARONALPHA, E-TEC, CORETEX, ETC","24,854.90",1401093.00
24-Jul,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,JAKARTA BRIDGE 174S,ONEYSM8AA3650900,JP,1631.00,"ADHESIVE, E-TEC, SILICON SEALANT, ETC","38,131.70",2146577.00
9-Jul,YAZAKI-TORRES MANUFACTURING INC.,YAZAKI  CORPORATION,QUEZON BRIDGE 214S,ONEYSM8AA2499500,JP,1320.00,"ADHESIVE, SILICON SEALANT, E-TEC, ETC","26,303.45",1479877.00
24-Jul,DLX BAGS PHILIPPINES INC,DA RONG LIMITED OFFICE,GUAYAQUIL  BRIDGE V. 742E,NISSGS81807083,VN,16762.00,ADHESIVES,"60,832.06",3436109.00
20-Jul,PAREXGROUP INC.,EMFI SAS,HERMA P 101E,AME65ME885829,NL,33523.00,ADHESIVES (LANKO GREY & WHITE),"108,053.14",6095050.00
31-Jul,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,AS SICILIA V 18011S,PTMNN1807026,CN,19950.00,ADHESIVES 317NT,"51,806.16",2791707.00
2-Jul,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,AS SICILIA V 18009S,PTMNS1806022,CN,12000.00,ADHESIVES 71KN,"20,501.73",1100428.00
25-Jul,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,VNL RUBY 18008S,PTMNN1807021,CN,6000.00,ADHESIVES A362,"17,367.76",933356.00
25-Jul,NAN PAO RESINS CHEMICAL PHILIPPINES,EASTLION ENTERPRISES LTD,VNL RUBY 18008S,PTMNN1807021,CN,8000.00,ADHESIVES A700W,"29,637.52",1591518.00
