DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
20-Jun,J-CHANNEL INGREDIENTS CORPORATION,EPS S.P.A.,APL CALIFORNIA,EGLV550800066969,IT,9500.00,1 X 20 HIGH WHIPPING EGG WHITE POWDE,"34,932.12",1900634.00
1-Jun,CHAROEN POKPHAND FOODS PHILIPPINES,DANISCO SINGAPORE PTE. LTD.,GH LESTE,MCB277742,SG,18000.00,"1 X 40 CONT STC 20 PALLETS AXTRA PHY 5000 L,","155,430.00",8414853.00
26-Jun,CONSOLIDATED  DAIRY & FROZEN FOOD,QINGDAO SHENGDA COMMERCIAL AND,JPO VELA 0XWS7S,9623,CN,26000.00,1040 BG MALTODEXTRIN,"13,739.73",744670.00
13-Jun,STT PHILIPPINES INC,STT INC.,CAPE NABIL 039S,YOKADA81836,JP,7115.00,1043509-AA/1043510-AA SILICONE SEAL AGENT,"116,092.58",6293346.00
4-Jun,SAVE EARTH TECHNOLOGIES AND SERVICE,ENVIRO-ZYME,OOCL HO CHI MINH CITY V 23,51770,US,1635.00,134 CASES FOG DIGESTER (ENVIRO-ZYME),"23,546.96",1283942.00
13-Jun,HMR PHILIPPINES INC,DGL INTERNATIONAL (MALAYSIA),MAIN TRADER 1661 V041N,PKGMNL1805018,MY,30758.00,1440 CANS WATERBASED PAINTS,"21,149.05",1128237.00
21-Jun,SAGAWA GLOBAL LOGISTICS PHILIPPINES,MACDERMID PERFORMANCE SOLUTION,BUXMELODY V.1663-098N,SEATF1806007901,SG,18045.00,"1X20 CNTR 20 PLTS STC: ULTRA ETCH FL,AMMONIU","32,841.97",1802935.00
25-Jun,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,MAJD,MCB330719,SG,1500.00,1X20 CONT STC AXTRA XAP 101 TPT FEED PREMIX,"32,126.51",1770830.00
21-Jun,HAMBURG TRADING CORPORATION,CARGILL BIO CHEMICAL CO LTD,SEASPAN FRASER V. 0XW0DS1NC,XDFF302189,CN,19800.00,1X20 CONTAINER STC: 792 BAGS ACETYLATED DIST,"17,474.93",944738.00
22-Jun,HAMBURG TRADING CORPORATION,CARGILL BIO CHEMICAL CO LTD,SEASPAN FRASER V. 0XW0DS1NC,XDFF302194,CN,19800.00,1X20 CONTAINER STC: 792 BAGS DISTARCH PHOSPH,"16,716.19",904174.00
19-Jun,PROMESSO BUSINESS SOLUTIONS CORP,BHOLE BABA MILK FOOD INDUSTRIES LTD,STARSHIP PEGASUS V 1808S,DLH0281739,IN,10000.00,1X20 CTNR STC 400 BAGS KRISHNA BRAND,"54,300.00",2919626.00
20-Jun,HENKEL PHILIPPINES INC.,PT.HENKEL ADHESIVE TECHNOLOGIE,CPO NORFOLK,710020,ID,6000.00,1X20 CTR STC TECHNOMELT SUPRA 100 ADHESIVE,"13,386.19",719932.00
5-Jun,PIONEER ADHESIVES INC,AKKIM YAPI KIMYASALLARI SAN TIC A S,LUDWIGSHAFEN EXPRESS 019E,M594048600,TR,7008.00,1X20 FLEXOSEAL PU SEALANT SAUSAGE 600ML GREY,"22,973.19",1281226.00
18-Jun,PROCTER & GAMBLE PHILIPPINES INC.,HENKEL ADHESIVES TECHNOLOGIES(GUANG,AS SICILIA V.18008S,TYSD011806040001,CN,9600.00,1X20 HOTMELT ADHESIVE,"47,240.38",2512795.00
10-Jun,PROCTER & GAMBLE PHILIPPINES INC.,HENKEL CHEMICAL TECHNOLOGIES(SHANGH,WELLE V.1810S,6602,CN,8640.00,1X20 HOTMELT ADHESIVE,"39,963.19",2217541.00
22-Jun,PROCTER & GAMBLE PHILIPPINES INC.,GENENCOR INTERNATIONAL B.V.,APL LION CITY,ANT1155941,FI,10000.00,1X20 STC PREFERENZ,"53,726.32",2968924.00
