DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
20-Mar,SAN MIGUEL FOODS INC,GLOBAL NUTRITION ASIA-PACIFIC,MSC DANIT V.806E,HDMUAWML0904484,FR,4320.00,"SAFIZYM GP60"" BRAND GLUCANASE",243557.49,13469286.00
2-Mar,S.D. TRADING CORPORATION,SUNSTAR CHEMICAL (THAILAND) CO,ITAL MASSIMA,EGLV050800112381,TH,23760.00,"SUNSTAR BRAND"" SEALING COMPOUND""""SUNSTAR BRAND"" SEALING COMPOUND""""UNSTAR BRAND"" SEA""""NSTA""","17,067.48",950052.00
1-Mar,HENKEL PHILIPPINES INC.,PT.HENKEL ADHESIVE TECHNOLOGIE,SONGA HAYDN 804A,10024,ID,29315.00,"1X20 & 1X40 CTR STC TECHNOMELT 2304 WV,MELTA","73,269.16",3852724.00
13-Mar,CHEMICAL RESEARCH PRODUCTS,PRO TECH USA LC,MSC LEIGH / 9S,SES000003473,US,6741.00,"1X20 CNTR 7 PLTS STC: MAGNA ZYME DEX, MAGNA","64,180.00",3447612.00
21-Mar,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,MOL HORIZON 1101E,BKKCB18001548,TH,19000.00,1X20 CONT MODIFIED TAPIOCA STARCH,"13,652.21",721768.00
1-Mar,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,NORTHERN DIAMOND,MCB161153,SG,7675.00,1X20 CONT STC AXTRA XAP 101 TPT AXTRA PHY 10,"72,344.57",3901627.00
19-Mar,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,MOL HOPE 0042E,BKKCB18001116,TH,19000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH,"13,652.23",721769.00
13-Mar,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,SOFIA EXPRESS V.044E,NYKSHAMU00721700,DE,16225.00,1X20 CONTAINER STC: 679 BAGS C TEX 06205 ACE,"16,744.84",907035.00
14-Mar,HAMBURG TRADING CORPORATION,CARGILL BIO CHEMICAL CO LTD,MARIA SCHULTE,XDFF301914,CN,19750.00,1X20 CONTAINER STC: 790 BAGS DISTARCH PHOSPH,"20,519.11",1077303.00
15-Mar,HAMBURG TRADING CORPORATION,K.D FEDDERSEN,MILLAU BRIDGE V. 015E,NYKSBCNU00730500,ES,5460.00,1X20 CONTAINER STC: 8 PALLETS GLUES AND ADHE,"14,675.98",811454.00
14-Mar,HAMBURG TRADING CORPORATION,CARGILL BIO CHEMICAL CO LTD,MARIA SCHULTE,XDFF301913,CN,19750.00,1X20 CONTAINER STC: DISTARCH PHOSPHATE C STA,"15,159.94",798676.00
9-Mar,SAGAWA GLOBAL LOGISTICS PHILIPPINES,MACDERMID PERFORMANCE SOLUTION,NORTHERN VALENCE V. 8-046N,SEATF1803001401,SG,5623.00,1X20 CTNR 6 PLTS STC: ULTRA ETCH FINE LINE M,"6,782.54",374310.00
20-Mar,HENKEL PHILIPPINES INC.,PT HENKEL ADHESIVE TECHNOLOGIE,NAVIOUS AMARILLO,10003,ID,11500.00,1X20 CTR STC TECHNOMELT 2202 WV ADHESIVES,"24,182.66",1268137.00
14-Mar,HENKEL PHILIPPINES INC.,PT HENKEL ADHESIVE TECHNOLOGIE,GH LESTE 804A,10042,ID,7825.00,1X20 CTR STC TECHNOMELT SUPRA 100 ADHESIVE,"24,174.00",1267687.00
