DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
10-May,TANN PHILIPPINES INC.,TANNPAPIER GMBH,COLOMBO EXPRESS,SZG62MNL800123,AT,1100.00,1100.00 NE SWEETENER,"57,751.11",3027850.00
7-May,AP MAGNA CHEM DISTRIBUTION CORP.,CHEM-BASE(NANTONG)LABORATORIES,VLADIVOSTOK,TAOSCL1804064,CN,25000.00,1250BAGS ISOLATED SOY PROTEIN,"40,888.00",2134352.00
24-May,AP MAGNA CHEM DISTRIBUTION CORP.,CHEM-BASE(NANTONG)LABORATORIES,NAVIOS AMARILLO,KMTCTAO3383137U,CN,25000.00,1250BAGS ISOLATED SOY PROTEIN,"40,888.00",2161658.00
3-May,MIRAI ENTERPRISES,ZHEJIANG ZHONGLONG IMP&EXP,ONYX 1 V S036,SNL8NBPLB401886,CN,13692.00,174 PKGS GLUE,"7,841.65",432033.00
8-May,UNITED PULP AND PAPER CO INC,BUCKMAN LABORATORIES (ASIA) PTE LTD,MANCHESTER BRIDGE V015E,M910052303,ES,20700.00,1X20 BUBOND 652,"66,066.14",3604168.00
17-May,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,XIN QIN HUANG DAO,OOLU2026146810,SG,1500.00,1X20 CONT STC AXTRA XAP 101 TPT FEED PREMIX,"32,126.52",1721510.00
18-May,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,SITC SHANGHAI 1807N,LCHCB18010894,TH,19000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH,"13,652.22",719704.00
9-May,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,CAPE NASSAU 002N,POBUBKK180400093,TH,19000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH,"13,652.19",717610.00
3-May,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,ISEACO FORTUNE 1817S,SITGBKMN107995,TH,19000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH,"13,652.16",725386.00
21-May,HAMBURG TRADING CORPORATION,CARGILL BIO CHEMICAL CO LTD,GUENTHER SCHULTE,XDFF302057,CN,19700.00,1X20 CONTAINER STC: 788 BAGS C STABITEX 0531,"15,279.52",804295.00
3-May,HENKEL PHILIPPINES INC.,PT HENKEL ADHESIVE TECHNOLOGIE,LYDIA 0771-022A,10022,ID,4500.00,1X20 CTR STC TECHNOMELT SUPRA 100 ADHESIVE,"14,707.90",772708.00
17-May,HENKEL PHILIPPINES INC.,HENKEL GLOBAL SUPPLY CHAIN B.V,NYK EAGLE 009E,HLCUBSL180308507,BE,720.00,1X20 CTR STC TOBACOLL 5067 ALF ADHESIVES,"6,519.48",365971.00
