DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
26-Nov,PROMESSO BUSINESS SOLUTIONS,BHOLE BABA MILK FOOD INDUSTRIES LTD,PIRAEUS V 18007E,DLH0338361,IN,100.00,SODIUM CASEINATE,"6,307.00",361764.00
20-Nov,UNIVERSAL ROBINA CORPORATION,KERRY INGREDIENTS M SDN BHD,LOS ANDES BRIDGE V. 108N,DUB180294154,MY,125.00,1 PALLET STC BIOBAKE CHW (25KG),"5,097.17",285612.00
27-Nov,CHAROEN POKPHAND FOODS PHILS. CORP.,DANISCO SINGAPORE PTE. LTD.,MERKUR HORIZON,MCB603021,FI,7000.00,1 X 40 CONT STC 16 PALLETS OF FEED ENZYME,"47,047.09",2583228.00
5-Nov,ABB INC,THOMAS &BETTS CORPORATION,CMA CGM RHONE OTU2QN,USCHS0000002943,US,4170.00,10000.00 PC GLAZIERS PUTTY/GRAFTING PUTTY,"13,493.03",764028.00
9-Nov,TURRIS PHIL. INC.,"SHANDONG YUXIN BIO-TECH CO., LTD",AS CARLOTTA,SITGTAMN638291,CN,25000.00,1250 BAGS ISOLATED SOY PROTEIN,"49,500.00",2645362.00
13-Nov,AP MAGNA CHEM DISTRIBUTION CORP,CHEM-BASE(NANTONG)LABORATORIES,MARIA SCHULTE,APLU660362367WFL4,CN,25500.00,1275 BAGS ISOLATED SOY PROTEIN,"41,604.00",2230962.00
28-Nov,INLAND WAREHOUSING & LOGISTICS DIV.,THREE BOND MANUFACTURING (THAILAND),SITC LIAONING V.1837N,BKK0762135,TH,3370.00,14 PK THREEBOND BRAND PRODUCTS(TB3089H/TB3,"207,312.52",11465873.00
22-Nov,TURRIS PHIL. INC.,TATE & LYLE INGREDIENTS AMERICAS,HARBOUR BRIDGE,ONEYRICUL6514600,US,19278.00,17 PALLETS 850 BAGS  X-PAND'R S,"19,759.95",1095174.00
27-Nov,MONDE NISSIN CORPORATION,KIKKOMAN TRADING ASIA PTE LTD,ACS CRYSTAL 187N,SSLSGMNLCAA3255,SG,18560.00,1X20  CONT STC SOY SAUCE KIKKOMAN,"27,197.06",1441234.00
13-Nov,ACS MANUFACTURING CORPORATION,DANISCO SINGAPORE PTE LTD,COSCO SHIPPING HIMALAYAS V.,ANT1185080,FI,10000.00,1X20' 500 CTNS 10 PLTS SMARTENZ(R) 2210,"65,000.00",3573650.00
