DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
9-Oct,J-CHANNEL INGREDIENTS CORPORATION,TONGAAT HULETT STARCH,CONTI CANBERRA,EGLV320830052171,ZA,18000.00,1 X 20 CNTR. STYWAX AWM,"9,360.00",534066.00
31-Oct,FISCHER PH ASIA INC,FISCHERWERKE GMBH & CO KG,MOL BREEZE SAC2967,STRCEBI01708,DE,2051.00,"1,152 PCS. FIS EM PLUS 390 S(FIXING MATERIAL","15,245.28",869990.00
23-Oct,HENKEL PHILIPPINES INC.,HENKEL GLOBAL SUPPLY CHAIN BV,YM WELLHEAD 018E,BSLA04893,BE,7200.00,10 PALLETS STC TOBACOLL 5067 ALF ADHESIVES,"16,106.47",922483.00
25-Oct,PROMESSO BUSINESS SOLUTIONS CORP,SHANDONG YUXIN BIO TECH CO LTD,E R MONTPELLIER V 1817,MCB553133,CN,20000.00,1000 BAGS ISOLATED SOY PROTEIN,"43,020.00",2371009.00
11-Oct,AP MAGNA CHEM DISTRIBUTION CORP,CHEM-BASE(NANTONG)LABORATORIES,HYUNDAI GLORY,QIML6102029WFL4,CN,25500.00,1275BAGS ISOLATED SOY PROTEIN,"41,604.00",2276951.00
4-Oct,TURRIS PHIL. INC.,TATE & LYLE INGREDIENTS AMERICAS IN,MOL PARTNER,ONEYRICUG6432900,US,19278.00,17 PACKAGES X-PAND'R STARCH,"19,759.95",1120208.00
24-Oct,PLAYPOINT PHILIPPINES INC,GUANGZHOU TONGAN IMPORT&EXPORT,NAVIOS AMARILLO 023S,APLU750927708,CN,1760.00,1760KGS PU MATERIAL,"6,722.71",367673.00
20-Oct,MIRAI ENTERPRISES,SHENZHEN EAST PACIFIC INTL,HAISU 12 V 18049QS,QASGOMMNN8S1946,CN,15163.00,1950 CTNS SILICONE SEALANT,"13,911.55",763970.00
16-Oct,UNAHCO INC.,ADISSEO ASIA PACIFIC PTE LTD,LOBIVIA V 075E,SEMNL180937601,SG,6000.00,1X20 CNTR STC ROVABIO ADVANCE TFLEX,"286,412.50",16006208.00
9-Oct,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,GUAYAQUIL BRIDGE 746E,ONEYBKKU83090600,TH,20000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH,"15,231.39",838081.00
25-Oct,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,GUAYAQUIL BRIDGE 747E,ONEYBKKUC0601300,TH,20000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH,"15,231.38",834924.00
30-Oct,HAMBURG TRADING CORPORATION,CARGILL DEUTSCHLAND GMBH,MOSCOW MAERSK V.838E,54403,DE,18000.00,1X20 CONTAINER STC: 720 BAGS ACETYLATED DIST,"15,370.50",864332.00
