DATE,IMPORTER,EXPORTER,VESSEL,BL,ORIGIN,QUANTITY,DESCRIPTION,AMOUNT $(CIF), L. COST (PhP) 
12-Sep,SANKYOTATEYAMA PHILIPPINES INC,DOW SILICONES CORPORATION---,OOCL TAIPEI / 26,DTW0106430,US,229.00,1 PLT STC: DOWSIL (TM) INSTANTGLAZE WINDOW A,"3,059.80",177828.00
25-Sep,SANKYOTATEYAMA PHILIPPINES INC,DOW SILICONES CORPORATION---,OOCL BEIJING / 62,DTW0105735,US,229.00,1 PLT STC: DOWSIL(TM)INSTANTGLAZE WINDOW ASS,"3,059.80",179778.00
12-Sep,COSMIC CHEMICAL CORPORATION,"TEXTURE MAKER ENTERPRISE CO.,LTD.",MARIA SCHULTE,EMNN18081088,TW,6250.00,1 X 20 CNTR. MODIFIED STARCH,"5,187.50",296425.00
12-Sep,J-CHANNEL INGREDIENTS CORPORATION,TONGAAT HULETT STARCH,EVER DIVINE,ONEYCPTU08722500,ZA,18000.00,1 X 20 CNTR. STYWAX AWH,"9,360.00",525236.00
14-Sep,J-CHANNEL INGREDIENTS CORPORATION,TONGAAT HULETT STARCH,ROSA,EGLV320830044683,ZA,18000.00,1 X 20 CNTR. STYWAX AWM  (MODIFIED STARCH),"9,360.00",527108.00
28-Sep,WILLS INTERNATIONAL SALES CORP.,NOVOZYMES MALAYSIA SDN BHD,EVER BONNY 1677-006N,01PKG0154584,MY,6700.00,1 X 20 STC 35 PLTS CONSISTING OF ENZYMES [ L,"228,480.00",12810489.00
10-Sep,CHAROEN POKPHAND FOODS PHILS. CORP.,DANISCO SINGAPORE PTE. LTD.,GH ZONDA,MCB456010,FI,5000.00,1 X 40 RF CONT STC 15 PALLETS AXTRA PHY 5000,"33,603.09",1854365.00
20-Sep,THE PUREFOODS HORMEL COMPANY INC,NATIONAL STARCH AND CHEMICAL (THAIL,HORAI BRIDGE,ONEYBKKU86090900,TH,198000.00,11X20 MODIFIED STARCH (TAPIOCA) ELASTITEX 1,"138,731.98",7550866.00
27-Sep,AP MAGNA CHEM DISTRIBUTION CORP.,CHEM-BASE(NANTONG)LABORATORIES,MARIA SCHULTE,QIML6102015WFL3,CN,25500.00,1275BAGS ISOLATED SOY PROTEIN,"41,604.00",2270744.00
12-Sep,INGREDION PHILIPPINES INC.,PT. INGREDION INDONESIA,GH LESTE 814A,AJKMNGL14A0001,US,3065.00,135 BAGS OFULTRA-TEX 4@50lbs (MODIFIED STARC,"8,389.48",473763.00
17-Sep,INLAND WAREHOUSING & LOGISTICS DIV.,THREEBOND MANUFACTURING (THAILAND),SITC ZHEJIANG V.1825N,BKK0733539,TH,1370.00,138 PE THREEBOND BRAND PRODUCTS (TB3089H/T,"83,812.67",4756105.00
16-Sep,MIRAI ENTERPRISES,ZHEJIANG ZHONGLONG IMP&EXP,DONG FANG QIANG 1816S,SITGNBMN966354,CN,19250.00,190 PKGS GLUE,"12,542.52",687461.00
10-Sep,MAXION BIOSCIENCE INC.,DANISCO SINGAPORE PTE LTD,GH ZONDA,MCB468441,SG,1500.00,1X20 CONT STC AXTRA XAP 101 TPT FEED PREMIX,"32,126.48",1769737.00
14-Sep,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,SITC LIAONING V 1827N,SITGBKMN115026,TH,20000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH,"15,231.44",827088.00
19-Sep,MONDE NISSIN CORPORATION,GENERAL STARCH LIMITED,GUAYAQUIL BRIDGE 745E,ONEYBKKUA7305900,TH,20000.00,1X20 CONT STC MODIFIED TAPIOCA STARCH STARFI,"15,231.41",833095.00
5-Sep,ZESTO CORPORATION,TOYOCHEM SPECIALTY CHEMICAL,EVER BEADY 1672-007N,EGLV091830329807,MY,16000.00,1X20 CONTR STC 80 DRUMS ADHESIVE TM-585-60M-,"66,132.20",3549002.00
20-Sep,HENKEL PHILIPPINES INC.,PT.HENKEL ADHESIVES TECHNOLOGI,UNI FORTUNA,10018,ID,3500.00,1X20 CTR STC TECHNOMELT SUPRA 100 ADHESIVES,"10,991.81",604354.00
11-Sep,PROCTER & GAMBLE PHILIPPINES INC.,HENKEL ADHESIVES TECHNOLOGIES(GUANG,ANSSA V.18002S,TYSD011808270003,CN,5760.00,1X20 HOTMELT ADHESIVE,"32,994.28",1862084.00
11-Sep,PROCTER & GAMBLE PHILIPPINES INC.,HENKEL ADHESIVES TECHNOLOGIES(GUANG,ANSSA V.18002S,TYSD011808270003,CN,3840.00,1X20 HOTMELT ADHESIVE,"19,000.26",1023532.00
26-Sep,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES CHINA BIOTECHNOLOGY CO LT,SEASPAN FRASER 0KR1DS,TSN31103428,CN,8000.00,1X20 STC MEDLEY BL 91667020 S 321 T,"56,886.84",3092099.00
13-Sep,PROCTER & GAMBLE PHILIPPINES INC.,NOVOZYMES CHINA BIOTECHNOLOGY CO LT,NAVIOS AMARANTH 0KR15S,TSN31103370,CN,7000.00,1X20 STC MEDLEY BL 91667020 S 321 T,"49,775.98",2698036.00
26-Sep,PROCTER & GAMBLE PHILIPPINES INC.,GENENCOR INTERNATIONAL B V,CSCL STAR 0PF1AE1MA,ANT1177528,FI,10000.00,1X20 STC PREFERENZ R P2084 GRANULAR PROTEASE,"50,565.77",2831760.00
26-Sep,PROCTER & GAMBLE PHILIPPINES INC.,GENENCOR INTERNATIONAL B V,APL VANDA 0FM0YE1MA,ANT1174791,FI,10000.00,1X20 STC PREFERENZ R P2084 GRANULAR PROTEASE,"50,564.32",2831679.00
7-Sep,ACS MANUFACTURING CORPORATION,DANISCO SINGAPORE PTE LTD,GH ZONDA V. 812A,MCB460372,FI,10000.00,1X20 STC.: 10 PALLETS EFFECTENZ(R) P 2000 PR,"50,000.00",2771281.00
3-Sep,HENKEL PHILIPPINES INC.,HENKEL ADHESIVES TECHNOLOGIES,GUAYAQUIL BRIDGE 744E,SSGN2630506096,VN,27000.00,1X20&1X40 CTR STC LOCTITE BONDACE 7103LTF (E,"68,580.00",3685941.00
13-Sep,NATIONAL BOOK STORE INC,Snopake Limited,CMA CGM JULES VERNE 311,BASS18082065,GB,461.00,1X20GP STC: SCHOOL SUPPLIES-SUPPLIER SNOPAKE,"7,459.69",424502.00
25-Sep,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA  C,HORAI BRIDGE V. 099E,ONEYBKKU90374900,TH,12686.00,1X20RF EPOXY ENCAPSULATION,"50,817.54",2845806.00
12-Sep,SAGAWA GLOBAL LOGISTICS PHILIPPINES,MACDERMID PERFORMANCE SOLUTION,EVER BLISS 1674-015N,SEATF1809000901,SG,19015.00,"1X40 CNTR STC: 24 PLTS ULTRA ETCH F L,MACDER","32,668.30",1815592.00
13-Sep,HAMBURG TRADING CORPORATION,CARGILL INCORPORATED,OOCL HO CHI MINH CITY V. 02,OOLU2102984150,US,19125.00,1X40 CONTAINER STC: 765 PACKAGES CTEX 06214,"16,330.57",916617.00
3-Sep,INGREDION PHILIPPINES INC.,INGREDION INC,OOCL MIAMI V 047W,OOLU2102569130,US,18998.00,1X40GP CNTR STC CLEARJEL S K4484 COLFLO 67,"26,789.77",1489872.00
3-Sep,INGREDION PHILIPPINES INC.,INGREDION INC,OOCL MEMPHIS 041W,OOLU2102569140,US,18371.00,1X40GP CNTR STC THERMTEX TRUEPACE IP,"20,842.32",1162588.00
6-Sep,NCH PHILIPPINES INC.,NCH DISTRIBUTION S.R.O.,MOL BREEZE 024E,A1SIN242370,CZ,921.00,"2 PKGS STC MEGA PIPE REPAIR, X-RUST GEL, MEG","7,452.37",424676.00
12-Sep,J-CHANNEL INGREDIENTS CORPORATION,TONGAAT HULETT STARCH,EVER DIVINE,ONEYCPTU08722501,ZA,36000.00,2 X 20 CNTR. STYCROS M,"18,720.00",1045157.00
19-Sep,AP MAGNA CHEM DISTRIBUTION CORP.,THANH VU JOINT STOCK COMPANY,NORDPANTHER 036S,POBUSGN180800474,VN,35000.00,2 X 20 CONT STC 1440 BAGS MODIFIED TAPIOCA,"22,750.40",1244832.00
21-Sep,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA CO,CALICANTO BRIDGE V.264E,ONEYBKKU90364800,TH,25371.00,2X20RF CTNR  EPOXY ENCAPSULATION MATERIAL,"87,841.22",4925871.00
6-Sep,SHINDENGEN PHILIPPINES CORPORATION,PANASONIC MANUFACTURING AYUTHAYA  C,CALICANTO BRIDGE V. 236E,ONEYBKKU81218600,TH,25371.00,2X20RF EPOXY ENCAPSULATION MATERIAL,"88,990.83",4911933.00
