"","IMPORTER","EXPORTER","ORIGIN","MONTH","title","L..COST..PhP.","QUANTITY.kg.","Phpkg","Countries"
"1","3M PHILIPPINES (EXPORT) INC.","3M EMEA GMBH","BE",1,"OTHERS",7016150,4275,1641.20467836257,"Belgium"
"2","3M PHILS. INC.","3M COMPANY","US",1,"OTHERS",552085,1369,403.27611395179,"United States"
"3","3M PHILS. INC.","3M SHANGHAI SPECIALTY","CN",1,"OTHERS",848969,1620,524.054938271605,"China"
"4","AB WEE ENTERPRISE","QUANZHOU WEISHENG IMP & EXP","CN",1,"GLUE",334181,2821,118.461892945764,"China"
"5","AB WEE ENTERPRISE","YIWU BAISHANG IMP & EXP CO","CN",1,"GLUE",285144,6607,43.1578628727108,"China"
"6","ACASTILLO ENTERPRISES","AMERSEAL INDUSTRIAL SDN BHD","MY",1,"OTHERS",1489316,20417,72.9448988587941,"Malaysia"
"7","ACASTILLO ENTERPRISES","ASTRANS (S) PTE LTD","SG",1,"OTHERS",388662,4560,85.2328947368421,"Singapore"
"8","ACBEL POLYTECH PHILIPPINES INC.","GREAT GUM ENTERPRISE CO. LTD","TW",1,"ADHESIVE",2121300,39,54392.3076923077,"Taiwan"
"9","ACBEL POLYTECH PHILIPPINES INC.","SOONEST EXPRESS HK CO LTD","HK",1,"GLUE",276319,846,326.618203309693,"Hong Kong SAR China"
"10","ACBEL POLYTECH PHILIPPINES INC.","SOONEST EXPRESS HK CO LTD","HK",1,"OTHERS",2300150,5997,383.550108387527,"Hong Kong SAR China"
"11","ACBEL POLYTECH PHILIPPINES INC.","SOONEST EXPRESS H.K. CO LTD.","HK",1,"OTHERS",948719,3037,312.386894962134,"Hong Kong SAR China"
"12","ACTICHEM MARKETING CORPORATION","MARCOR DEVELOPMENT CORP","US",1,"ENZYME",6449083,5000,1289.8166,"United States"
"13","AGP CORPORATION","B&J ROCKET RASP","DK",1,"ADHESIVE",460207,2392,192.394230769231,"Denmark"
"14","AIR PHILIPPINES CORPORATION","AVIALL PTE LTD","SG",1,"OTHERS",343618,9,38179.7777777778,"Singapore"
"15","AIR PHILIPPINES CORPORATION","BE AEROSPACE GLOBAL SERVICES","US",1,"ULTRALOC",314713,9,34968.1111111111,"United States"
"16","AL RAMA GLOBAL TRADING CORP.","SHANDONG YUWANG ECOLOGICAL","CN",1,"PROTEIN",1418269,12500,113.46152,"China"
"17","ALASKA MILK CORPORATION","LAKELAND DAIRIES LTD.","IE",1,"OTHERS",38973361,1e+05,389.73361,"Ireland"
"18","ALASKA MILK CORPORATION","LAKELAND DAIRIES BAILIEBORO,CO","IE",1,"OTHERS",38972990,1e+05,389.7299,"Ireland"
"19","ALDIZ INCORPORATED","FORCOM CORPORATION","TW",1,"OTHERS",1066935,1020,1046.01470588235,"Taiwan"
"20","ALLEGRO MICROSYSTEMS PHILIPPINES","SUMITOMO BAKELITE SINGAPORE PTE LTD","SG",1,"OTHERS",3313441,196,16905.3112244898,"Singapore"
"21","ALLEGRO MICROSYSTEMS PHILIPPINES","HENKEL TECHNOLOGIES (KOREA) LIMITED","KR",1,"OTHERS",7284934,746,9765.32707774799,"South Korea"
"22","ALLEGRO MICROSYSTEMS PHILIPPINES","HENKEL ELECTRONIC MATERIAL LLC","US",1,"OTHERS",3948295,249,15856.6064257028,"United States"
"23","ALLGEMEINE BAU CHEMIE PHIL INC","MOMENTIVE PERFORMANCE MATERIALS (TH","TH",1,"SEAL",6286084,28750,218.6464,"Thailand"
"24","ALLKEY INTERNATIONAL INC.","SAMJI PROTECTIVE TAPE (CHINA)","CN",1,"TAPE",1694040,4357,388.808813403718,"China"
"25","ALLTECH BIOTECHNOLOGY CORP","CUSTOM FREIGHT SALES, INC.","US",1,"OTHERS",437784,1000,437.784,"United States"
"26","ALLTECH BIOTECHNOLOGY CORP","ALLTECH BIOTECHNOLOGY CORP LTD","TH",1,"OTHERS",1864486,4500,414.330222222222,"Thailand"
"27","ALPLA PHILIPPINES INC","KRONES (THAILAND) CO., LTD.","TH",1,"OTHERS",1135337,2240,506.846875,"Thailand"
"28","ALTERNATIVES FOOD CORP","QINGDAO LANKANG INTERNATIONAL CO.,","TR",1,"PROTEIN",16197150,3e+05,53.9905,"Turkey"
"29","ALTERNATIVES FOOD CORP","SCANFLAVOUR A/S","DK",1,"PROTEIN",1956537,44000,44.46675,"Denmark"
"30","ALTERNATIVES FOOD CORP","WENDA CO., LTD.","CN",1,"WBS",5808453,8000,726.056625,"China"
"31","ALUACE CORPORATION","SHANGHAI JOYFLY IMP & EXP CO., LTD","CN",1,"SEAL",1006570,2256,446.174645390071,"China"
"32","ALUACE CORPORATION","GUANGZHOU BAIYUN CHEMICAL INDUSTRY","CN",1,"SEAL",3673069,14789,248.364933396443,"China"
"33","AMERTRON INC.","UNITED RESIN CORPORATION","US",1,"ADHESIVE",676973,169,4005.7573964497,"United States"
"34","AMERTRON INC.","MATERIAL TECHNOLOGY PTE LTD","SG",1,"ADHESIVE",1546757,103,15017.0582524272,"Singapore"
"35","AMERTRON INC.","SOL EPOXY INC.,","US",1,"ADHESIVE",733274,293,2502.64163822526,"United States"
"36","AMERTRON INCORPORATED","KYOEI DENKI PTE LTD.","SG",1,"OTHERS",1137341,262,4340.99618320611,"Singapore"
"37","AMERTRON INCORPORATED","MATERIAL TECHNOLOGY PTE LTD.","SG",1,"OTHERS",2136166,64,33377.59375,"Singapore"
"38","AMERTRON INCORPORATED","SOL EPOXY INC.","US",1,"EPOXY",895873,318,2817.2106918239,"United States"
"39","AMERTRON INCORPORATED","SUMITOMO METAL MINING CO LTD.","JP",1,"EPOXY",1278046,161,7938.17391304348,"Japan"
"40","AMPLEON PHILIPPINES INC","HENKEL ELECTRONIC MATERIALS","US",1,"OTHERS",1585808,28,56636,"United States"
"41","ANALOG DEVICES PHILIPPINES INC","HENKEL ELECTRONIC MATERIALS","US",1,"OTHERS",876738,17,51572.8235294118,"United States"
"42","ANALOG DEVICES PHILIPPINES INC","HENKEL ELECTRONIC MATERIALS","US",1,"ADHESIVE",879075,18,48837.5,"United States"
"43","ANGELES ALLIANCE LEATHERWARE INC.","DINGZING ADVANCED MATERIALS INCORPO","TW",1,"ADHESIVE",1898336,2482,764.841257050766,"Taiwan"
"44","AP MAGNA CHEM DISTRIBUTION CORP.","CHEM-BASE (NANTONG) LABORATORI","CN",1,"ISP",2923764,25000,116.95056,"China"
"45","AP MAGNA CHEM DISTRIBUTION CORP.","THANH VU JOINT STOCK CO.","VN",1,"MODIFIED STARCH",3512333,108000,32.5216018518519,"Vietnam"
"46","AP MAGNA CHEM DISTRIBUTION CORP.","JIANGSU ZHAOJIA MATERIALS TECHNOLOG","CN",1,"OTHERS",2213292,26000,85.1266153846154,"China"
"47","APF CORPORATION","BEIJING SMILE FEED SCI & TECH","CN",1,"ENZYME",275457,3000,91.819,"China"
"48","APM TECHNICA AG","EPOXY TECHNOLOGY","US",1,"ADHESIVE",389035,35,11115.2857142857,"United States"
"49","ASCO MARKETING CORPORATION","BOUWHUIS ENTHOVEN B. V.","NL",1,"OTHERS",2548177,5000,509.6354,"Netherlands"
"50","ASIAN SPORTS APPAREL PHILIPPINES","FWUJI RESINS CHEMICAL INDUSTRY","TW",1,"ADHESIVE",3734944,19547,191.075049879777,"Taiwan"
"51","ASTEC POWER PHILIPPINES INC","HENKEL MALAYSIA SDN BHD","MY",1,"ADHESIVE",1536644,480,3201.34166666667,"Malaysia"
"52","ASTEC POWER PHILIPPINES INC","ASTEC INTERNATIONAL LTD","HK",1,"GLUE",440230,389,1131.69665809769,"Hong Kong SAR China"
"53","ASTEC POWER PHILIPPINES INC","U-BOND SPECIALTY CHEMICAL MATERIAL","HK",1,"EPOXY",436822,472,925.470338983051,"Hong Kong SAR China"
"54","ASTEC POWER PHILIPPINES INC","WINNER HI-TECH LIMITED","JP",1,"EPOXY",368804,44,8381.90909090909,"Japan"
"55","AUTOLIV CEBU SAFETY MANUFACTURING","SIKA AUTOMOTIVE GMBH","DE",1,"SIKATHERM",1589878,5210,305.158925143954,"Germany"
"56","AUTOMATED TECHNOLOGY (PHIL) INC.","SENCIO B V","NL",1,"ADHESIVE",404954,62,6531.51612903226,"Netherlands"
"57","AUTOMATED TECHNOLOGY (PHIL) INC.","HERAEUS ROMANIA SRL","RO",1,"OTHERS",564333,105,5374.6,"Romania"
"58","B/E AEROSPACE B.V. - (PHIL BRANCH)","KLX AEROSPACE","US",1,"ADHESIVE",1684250,975,1727.4358974359,"United States"
"59","B/E AEROSPACE B.V. - (PHIL BRANCH)","MANKIEWICZ GEBR CO","DE",1,"OTHERS",1594404,2527,630.947368421053,"Germany"
"60","B/E AEROSPACE B.V. - (PHIL BRANCH)","MAGNOLIA ADVANCED MATERIALS INC","US",1,"OTHERS",2004032,656,3054.92682926829,"United States"
"61","B/E AEROSPACE B.V. - (PHIL BRANCH)","CYCTEC ENGINEERED MATERIALS","GB",1,"OTHERS",5986449,5737,1043.48073906223,"United Kingdom"
"62","B/E AEROSPACE B.V. - (PHIL BRANCH)","CYTEC ENGINEERING MATERIALS","GB",1,"OTHERS",5818900,5525,1053.19457013575,"United Kingdom"
"63","BAG ELECTRONICS INC.","NIHON SUPERIOR CO.,LTD","JP",1,"ADHESIVE",289612,28,10343.2857142857,"Japan"
"64","BARENTZ PHILIPPINES INC.","NOVOZYMES MALAYSIA SDN BHD","MY",1,"ENZYME",826800,240,3445,"Malaysia"
"65","BASF PHILIPPINES INC","BASF MALAYSIA SDN BHD","MY",1,"SEAL",286270,26125,10.9577033492823,"Malaysia"
"66","BASF PHILIPPINES INC","PT BASF DISTRIBUTION INDONESIA","ID",1,"SEAL",334823,19800,16.9102525252525,"Indonesia"
"67","BASF PHILIPPINES INC","BASF CORPORATION","US",1,"GLUE",393169,667,589.458770614693,"United States"
"68","BATAAN 2020 INC.","NATIONAL STARCH AND CHEMICAL (","TH",1,"MODIFIED STARCH",529322,16000,33.082625,"Thailand"
"69","BATAAN 2020 INC.","SMS CORPORATION CO., LTD","TH",1,"MODIFIED STARCH",540334,17000,31.7843529411765,"Thailand"
"70","BATAAN 2020 INC.","NATIONAL STARCH AND CHEMICAL (THAIL","TH",1,"MODIFIED STARCH",1680406,46250,36.3331027027027,"Thailand"
"71","BAYER PHILIPPINES INCORPORATED","ADISSEO ASIA PACIFIC PTE LTD","SG",1,"OTHERS",15708035,30000,523.601166666667,"Singapore"
"72","BESTELEMENT INDUSTRIAL LTD INC","ZHANG ZHOU TREAD BEST IND. CO. LTD.","CN",1,"ADHESIVE",1794162,2235,802.757046979866,"China"
"73","BORAL PLASTERBOARD PHILIPPINES INC.","USG INTERIORS (FAR EAST) SDN B","MY",1,"OTHERS",1049319,61824,16.9726805124224,"Malaysia"
"74","BORAL PLASTERBOARD PHILIPPINES INC.","USG BORAL SDN BHD","MY",1,"OTHERS",2594648,163955,15.8253667164771,"Malaysia"
"75","BOSTIK PHILIPPINES INC.","BOSTIK INHDIA PRIVATE LIMITED","IN",1,"ADHESIVE",2315452,17775,130.26452883263,"India"
"76","BOSTIK PHILIPPINES INC.","BOSTIK INDIA PRIVATE LIMITED","IN",1,"OTHERS",2378060,18000,132.114444444444,"India"
"77","BOSTIK PHILIPPINES INC.","JIANGSU BOSTIK ADHESIVE CO. LTD","CN",1,"OTHERS",1366256,10000,136.6256,"China"
"78","BOSTIK PHILIPPINES INC.","BOSTIK AUSTRALIA PTY LTD","AU",1,"OTHERS",1820830,8295,219.509342977697,"Australia"
"79","BOSTIK PHILIPPINES INC.","BOSTIK AUSTRALIA PTY LTD","AU",1,"ADHESIVE",1892277,9216,205.3251953125,"Australia"
"80","BOSTIK PHILIPPINES INC.","JIANGSU BOSTIK ADHESIVE CO. LTD","CN",1,"ADHESIVE",3586664,15200,235.964736842105,"China"
"81","BOSTIK PHILIPPINES INC.","POLYCOAT PRODUCTS","US",1,"SEAL",10007471,76736,130.414290554629,"United States"
"82","BOUNTY FRESH FOODS INC","BIOCHEM ZUSATZSTOFFE HANDELS","DE",1,"OTHERS",4030802,40000,100.77005,"Germany"
"83","BRENNTAG INGREDIENTS INC.","ROQUETTE ITALIA SPA","IT",1,"OTHERS",3463415,57000,60.7616666666667,"Italy"
"84","BRENNTAG INGREDIENTS INC.","DUPONT NUTRITION BIOSCIENCES","DK",1,"OTHERS",2508463,3640,689.138186813187,"Denmark"
"85","BRENNTAG INGREDIENTS INC.","ROQUETTE FRERES","FR",1,"OTHERS",749124,2000,374.562,"France"
"86","BRIGHT GOAL TRADING","ADITYA BIRLA CHEMICAL (THAILAND) LT","TW",1,"EPOXY",715210,18800,38.043085106383,"Taiwan"
"87","BRIGHT GOAL TRADING","KUKDO CHEMICAL CO.,LTD","KR",1,"EPOXY",683033,17600,38.8086931818182,"South Korea"
"88","BUILDER'S CHOICE INC.","SHANGHAI NATURE BUILDING MATERIALS","CN",1,"OTHERS",303785,3220,94.3431677018634,"China"
"89","BULWARK EQUIPMENT PARTSHOUSE INC","FLOOR CHEM ASIA CO., LTD","TH",1,"OTHERS",2535829,32040,79.1457240948814,"Thailand"
"90","CARGILL TEXTURIZING SOLUTIONS","CARGILL INCORPORATED","US",1,"STARCH",1195133,15876,75.279226505417,"United States"
"91","CATHAY INDUSTRIAL & MILL SUPPLY INC","PHOENIX CONVEYOR BELT SYSTEMS","DE",1,"OTHERS",417131,183,2279.4043715847,"Germany"
"92","CEBU EVERGREEN INDUSTRIES INC.","DRYVIT SYSTEM INC.","US",1,"OTHERS",1200070,17480,68.6538901601831,"United States"
"93","CEBU FURNITECH MARKETING INC.","MIROTONE (THAILAND) CO., LTD.","TH",1,"OTHERS",784910,7701,101.923126866641,"Thailand"
"94","CEBU MITSUMI INC.","MITSUMI ELECTRIC CO.,LTD.","JP",1,"OTHERS",1775693,25,71027.72,"Japan"
"95","CEBU MITSUMI INC.","OHMIYA CORPORATION","JP",1,"OTHERS",911466,2796,325.989270386266,"Japan"
"96","CEMEDINE PHILIPPINES CORP","MITSUBISHI CORPORATION","JP",1,"OTHERS",3365119,14400,233.688819444444,"Japan"
"97","CENTURY LIMITLESS CORPORATION","CHANGZHOU SENSSE IMP & EXP CO. LTD","CN",1,"ADHESIVE",327054,2400,136.2725,"China"
"98","CEPRE INTERNATIONAL TRADING","GUANGDONG OLIVIA CHEMICAL INDU","CN",1,"SEAL",535090,15688,34.1082355940847,"China"
"99","CHIYODA PHILIPPINES MANUFACTURING","CHIYODA MANUFACTURING CORP","JP",1,"FILLER",583251,366,1593.58196721311,"Japan"
"100","CHOEI PLASTIC WORLD PHILIPPINES INC","PLASTIC WORLD (CHINA) LTD","HK",1,"OTHERS",982108,19000,51.6898947368421,"Hong Kong SAR China"
"101","CHOOSEYOURSHOES PHILIPPINES(CYS-PH)","RENIA-GESELLSCHAFT MBH","DE",1,"ADHESIVE",776141,2196,353.433970856102,"Germany"
"102","CIRTEK ELECTRONICS CORPORATION","CIRTEK SEMICONDUCTOR INC.","US",1,"ADHESIVE",1359720,59,23046.1016949153,"United States"
"103","CLAYMOUNT ASSEMBLIES PHILS INC","INTERVRACHT NEDERLAND","NL",1,"OTHERS",447816,256,1749.28125,"Netherlands"
"104","COFTA MOULDINGS CORPORATION","PAPCOR (DEZHOU)PACKAGING MATERIALS","CN",1,"ADHESIVE",702366,18000,39.0203333333333,"China"
"105","COMGLASCO AGUILA GLASS CORPORATION","AL MUQARRAM INSULATION MAT IND.LLC","SA",1,"SEAL",722247,14478,49.8858267716535,"Saudi Arabia"
"106","COMMODITY QUEST INC.","DEZHOU RUI KANG BIO TECHNOLOGY","CN",1,"PROTEIN",11510658,1e+05,115.10658,"China"
"107","COMMODITY QUEST INC.","DEZHOU RUIKANG FOOD CO., LTD","CN",1,"PROTEIN",10760068,1e+05,107.60068,"China"
"108","COMMODITY QUEST INC.","VEOS NV","BE",1,"PROTEIN",1770648,11000,160.968,"Belgium"
"109","CONCORD SCIENTIFIC & CHEMICAL CORP","TAPIOCA DEVELOPMENT CORP. LTD.","TH",1,"MODIFIED STARCH",727549,15000,48.5032666666667,"Thailand"
"110","CONNELL BROS. COMPANY PILIPINAS INC","BHJ A/S","BE",1,"CAPROCURE",385218,1000,385.218,"Belgium"
"111","CONSOLIDATED ADHESIVES INC","ADTEK MALAYSIA SDN BHD","MY",1,"GLUE",2597309,17000,152.782882352941,"Malaysia"
"112","CONTINENTAL PACIFIC AGRITRADE CORP.","ECOLAB PTY LTD","AU",1,"OTHERS",443064,1605,276.052336448598,"Australia"
"113","CONTINENTAL TEMIC ELECTRONICS PHILS","DOW CORNING","US",1,"ADHESIVE",345860,273,1266.88644688645,"United States"
"114","CONVERGE INFORMATION AND COMMUNICAT","YANGTZE OPTICAL FIBRE AND CABL","CN",1,"EPOXY",260459,121,2152.55371900826,"China"
"115","CORBOX CORPORATION","CHUEN HUAH CHEMICAL CO LTD","TW",1,"STARCH",584264,14750,39.6111186440678,"Taiwan"
"116","CORNELL INGREDIENTS CORPORATION","GENERAL STARCH LIMITED","TH",1,"MODIFIED STARCH",4009551,1e+05,40.09551,"Thailand"
"117","CORNELL INGREDIENTS CORPORATION","ROQUETTE ITALIA SPA","IT",1,"MODIFIED STARCH",4965335,1e+05,49.65335,"Italy"
"118","CORONATION PREMIUM MFG. INC.","DONGGUAN OULIAN SUPPLY CHAIN","CN",1,"GLUE",565398,1142,495.094570928196,"China"
"119","CROWN SUPPLY CORP","A.W. FABER CASTELL (M) SDN BHD","MY",1,"ADHESIVE",271723,614,442.545602605863,"Malaysia"
"120","DAESANG RICOR CORPORATION","GENENOR (CHINA) BIO-PRODUCTS CO., L","CN",1,"OTHERS",1194085,7664,155.804410229645,"China"
"121","DALKIA INCORPORATED","SILMATE SILICONE CO., LIMITED","CN",1,"SEAL",725844,2540,285.765354330709,"China"
"122","DAVAO FIBREBOARD PACKAGING PLANT","CHUEN HUAH CHEMICAL CO., LTD","TW",1,"STARCH",1287077,15960,80.6439223057644,"Taiwan"
"123","DEL MONTE PHILS INC. / PHILPACK","GENERAL STARCH LIMITED","TH",1,"MODIFIED STARCH",2267961,57000,39.7887894736842,"Thailand"
"124","DEL MONTE PHILS INC. / PHILPACK","CARGILL BIO CHEMICAL CO LTD","CN",1,"OTHERS",7962436,179400,44.3837012263099,"China"
"125","DEL MONTE PHILS INC. / PHILPACK","AB ENZYMES GMBH","SG",1,"ENZYME",1598025,3000,532.675,"Singapore"
"126","DESK TOP BAGS PHILIPPINES INC.","GOLDEN COMPANY LIMITED","VN",1,"OTHERS",361021,219,1648.49771689498,"Vietnam"
